date,baseline,is_rank_1_with_exit_profiles,is_rank_2_with_exit_profiles,is_rank_3_with_exit_profiles,risk_first_trend_runner__one_r_invalidation,risk_first_trend_runner__trend_structure_break,risk_first_trend_runner__time_and_volatility_failure,volatility_ladder__one_r_invalidation,volatility_ladder__trend_structure_break,volatility_ladder__time_and_volatility_failure,structure_ladder__one_r_invalidation,structure_ladder__trend_structure_break,structure_ladder__time_and_volatility_failure
2018-09-26,20.9353603766464,26.434396294842198,28.507932526075457,23.669125884677353,26.434396294842198,26.690909748680895,23.669125884677353,28.507932526075457,25.38163345954214,28.157809507277356,26.47369929048659,22.73780976153557,27.48288200065247
2018-09-27,21.51513439389386,26.92243744810773,29.297417792471904,24.32460751728412,26.92243744810773,27.18368674385646,24.32460751728412,29.297417792471904,26.08454047095221,28.937598631573195,27.20684945904869,23.367499963742908,28.243980000227896
2018-09-28,21.481916953044763,26.894726893076296,29.252185202949764,24.28705250151754,26.894726893076296,27.15570729181298,24.28705250151754,29.252185202949764,26.044268276305097,28.8929215706141,27.16484451982541,23.331422636331133,28.200373824322863
2018-10-01,21.6057276341227,26.998065108851463,29.42077969947033,24.427030535980723,26.998065108851463,27.260048278460854,24.427030535980723,29.42077969947033,26.19437399547877,29.059445456997626,27.321408662063156,23.465892913515216,28.362906222966505
2018-10-02,21.481916953044763,26.894924284791017,29.252185202949764,24.28705250151754,26.894924284791017,27.15590659897264,24.28705250151754,29.252185202949764,26.0442682763051,28.8929215706141,27.164844519825415,23.331422636331133,28.200373824322863
2018-10-03,21.54533294631827,26.94785464295423,29.3385395252442,24.358749434404675,26.94785464295423,27.20935058146205,24.358749434404675,29.3385395252442,26.121152622587307,28.97821532367994,27.245036878873748,23.40029848871437,28.283623132131964
2018-10-04,20.31631905647859,25.923060774135386,27.66497650006491,22.969249375686694,25.923060774135386,26.17461234274607,22.969249375686694,27.66497650006491,24.631119515567356,27.32520632983872,25.69089386160132,22.06547150132549,26.67023587230217
2018-10-05,19.552346921481885,24.80825878259081,26.62466643687713,22.10551680503584,24.80825878259081,25.51843460311358,22.10551680503584,26.62466643687713,23.704894203228285,26.297672938529065,24.724816936994127,21.23572447255942,25.667331902169302
2018-10-08,19.20206401653153,24.3638155150883,26.14768198379355,21.709493520823884,24.3638155150883,24.86684511470196,21.709493520823884,26.14768198379355,23.280217859442427,25.82654661761556,24.28186854129332,20.855283634083868,25.207498225060256
2018-10-09,19.35003184761793,24.551558923070544,26.349171562609033,21.87678317611797,24.551558923070544,25.058464783005125,21.87678317611797,26.349171562609033,23.459611248659073,26.02556158205742,24.468980479868623,21.01599089364567,25.401742908145643
2018-10-10,16.84068779880759,22.327432904331733,24.694944045955225,19.538544168741495,22.327432904331733,21.808841734798193,19.538544168741495,24.694944045955225,20.417330164172192,23.667905644676157,21.63030041066785,18.290602527666618,22.686748402554233
2018-10-11,16.84068779880759,22.327432904331733,24.694944045955225,19.538544168741495,22.327432904331733,21.808841734798193,19.538544168741495,24.694944045955225,20.417330164172192,23.667905644676157,21.63030041066785,18.290602527666618,22.686748402554233
2018-10-12,16.84068779880759,22.327432904331733,24.694944045955225,19.538544168741495,22.327432904331733,21.808841734798193,19.538544168741495,24.694944045955225,20.417330164172192,23.667905644676157,21.63030041066785,18.290602527666618,22.686748402554233
2018-10-15,16.84068779880759,22.327432904331733,24.694944045955225,19.538544168741495,22.327432904331733,21.808841734798193,19.538544168741495,24.694944045955225,20.417330164172192,23.667905644676157,21.63030041066785,18.290602527666618,22.686748402554233
2018-10-16,16.84068779880759,22.327432904331733,24.694944045955225,19.538544168741495,22.327432904331733,21.808841734798193,19.538544168741495,24.694944045955225,20.417330164172192,23.667905644676157,21.63030041066785,18.290602527666618,22.686748402554233
2018-10-17,16.896218583394177,22.40105578017827,24.7763735953048,19.60297091308425,22.40105578017827,21.880754598864456,19.60297091308425,24.7763735953048,20.484654633144306,23.745948619266734,21.70162454938462,18.350914286963924,22.761556091739088
2018-10-18,15.724452351669488,20.847524699324964,23.058112329905065,18.243489248943803,20.847524699324964,20.363306819821013,18.243489248943803,23.058112329905065,19.06402749996719,22.099148147611334,20.19659958211007,17.07826374822907,21.183024026817762
2018-10-19,15.724452351669488,20.847524699324964,23.058112329905065,18.243489248943803,20.847524699324964,20.363306819821013,18.243489248943803,23.058112329905065,19.06402749996719,22.099148147611334,20.19659958211007,17.07826374822907,21.183024026817762
