rank_drawdown_first,variant,cash_mode,cash_sma,exit_buffer_pct,reentry_buffer_pct,dca_start_below_sma_pct,dca_max_below_sma_pct,dca_entry_exposure,dca_max_exposure,dca_filter,recover_buffer_pct,max_dca_days,normal_exposure,trade_events,2010_return_pct,2010_cagr_pct,2010_max_drawdown_pct,2010_calmar,2010_sharpe,2010_2022_return_pct,2010_2022_drawdown_pct,2010_cash_days_pct,2010_deep_dca_days_pct,2010_avg_exposure,2020_return_pct,2020_cagr_pct,2020_max_drawdown_pct,2020_calmar,2020_sharpe,2020_2022_return_pct,2020_2022_drawdown_pct,2020_cash_days_pct,2020_deep_dca_days_pct,2020_avg_exposure
276,selected_or_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 1.00->1.00; filter=none; recover=5%; maxDays=63; normal=1.00,selected_or_qqq,200,0.0,1.0,20.0,50.0,1.0,1.0,none,5.0,63,1.0,155,305253.14,65.69,-78.99,0.832,1.1,-77.23,-78.73,11.91,8.68,0.881,8292.03,100.14,-78.99,1.268,1.25,-77.23,-78.73,4.42,15.94,0.956
277,selected_and_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 1.00->2.00; filter=none; recover=5%; maxDays=20; normal=1.00,selected_and_qqq,200,0.0,1.0,20.0,50.0,1.0,2.0,none,5.0,20,1.0,185,647599.25,73.72,-79.0,0.933,1.12,-74.26,-78.74,17.06,8.53,0.86,8644.75,101.43,-79.0,1.284,1.2,-74.26,-78.74,9.15,15.63,0.979
278,selected_or_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 1.00->1.50; filter=none; recover=5%; maxDays=63; normal=1.00,selected_or_qqq,200,0.0,1.0,20.0,50.0,1.0,1.5,none,5.0,63,1.0,155,471736.34,70.29,-79.58,0.883,1.11,-76.21,-79.32,11.91,8.68,0.896,12123.58,112.28,-79.58,1.411,1.28,-76.21,-79.32,4.42,15.94,0.992
279,selected_or_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 1.00->1.50; filter=none; recover=5%; maxDays=20; normal=1.00,selected_or_qqq,200,0.0,1.0,20.0,50.0,1.0,1.5,none,5.0,20,1.0,173,441279.14,69.58,-80.6,0.863,1.11,-78.63,-80.36,12.11,8.48,0.894,10226.7,106.75,-80.6,1.324,1.25,-78.63,-80.36,4.86,15.5,0.987
280,selected_or_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 25%->50%; exp 1.00->2.00; filter=none; recover=5%; maxDays=20; normal=1.00,selected_or_qqq,200,0.0,1.0,25.0,50.0,1.0,2.0,none,5.0,20,1.0,149,534513.0,71.64,-80.63,0.888,1.1,-68.68,-80.39,13.73,6.85,0.889,22361.97,133.5,-80.63,1.656,1.35,-68.68,-80.39,6.29,14.07,1.0
281,selected_or_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 1.00->1.00; filter=none; recover=5%; maxDays=20; normal=1.00,selected_or_qqq,200,0.0,1.0,20.0,50.0,1.0,1.0,none,5.0,20,1.0,173,289678.34,65.15,-80.85,0.806,1.1,-79.25,-80.62,12.11,8.48,0.879,7092.39,95.36,-80.85,1.179,1.22,-79.25,-80.62,4.86,15.5,0.951
282,selected_or_qqq; cashSMA150; exit 0%; reentry 1%; DCA below SMA200 25%->50%; exp 1.00->2.00; filter=none; recover=5%; maxDays=63; normal=1.00,selected_or_qqq,150,0.0,1.0,25.0,50.0,1.0,2.0,none,5.0,63,1.0,142,409642.41,68.79,-80.88,0.851,1.08,-75.15,-80.64,13.36,6.9,0.894,16971.33,123.68,-80.88,1.529,1.31,-75.15,-80.64,6.72,14.13,0.998
283,selected_and_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 25%->50%; exp 1.00->2.00; filter=none; recover=5%; maxDays=63; normal=1.00,selected_and_qqq,200,0.0,1.0,25.0,50.0,1.0,2.0,none,5.0,63,1.0,143,287900.13,65.08,-81.24,0.801,1.06,-76.35,-81.01,18.56,7.03,0.842,7020.74,95.05,-81.24,1.17,1.17,-76.35,-81.01,10.34,14.45,0.961
284,selected_or_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 25%->50%; exp 1.00->1.00; filter=none; recover=5%; maxDays=63; normal=1.00,selected_or_qqq,200,0.0,1.0,25.0,50.0,1.0,1.0,none,5.0,63,1.0,135,161760.56,59.2,-82.18,0.72,1.05,-80.69,-81.96,13.56,7.03,0.864,7820.36,98.33,-82.18,1.197,1.25,-80.69,-81.96,5.92,14.45,0.941
285,selected_or_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 25%->50%; exp 1.00->1.50; filter=none; recover=5%; maxDays=63; normal=1.00,selected_or_qqq,200,0.0,1.0,25.0,50.0,1.0,1.5,none,5.0,63,1.0,135,242628.57,63.32,-82.77,0.765,1.06,-80.31,-82.56,13.56,7.03,0.878,10699.38,108.2,-82.77,1.307,1.27,-80.31,-82.56,5.92,14.45,0.973
286,selected_or_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 1.00->2.00; filter=none; recover=5%; maxDays=63; normal=1.00,selected_or_qqq,200,0.0,1.0,20.0,50.0,1.0,2.0,none,5.0,63,1.0,155,648253.3,73.73,-82.89,0.89,1.11,-77.19,-82.68,11.91,8.68,0.912,15862.11,121.34,-82.89,1.464,1.29,-77.19,-82.68,4.42,15.94,1.028
287,selected_or_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 1.00->2.00; filter=none; recover=5%; maxDays=20; normal=1.00,selected_or_qqq,200,0.0,1.0,20.0,50.0,1.0,2.0,none,5.0,20,1.0,173,598902.97,72.87,-83.49,0.873,1.1,-79.76,-83.29,12.11,8.48,0.909,13218.34,115.15,-83.49,1.379,1.26,-79.76,-83.29,4.86,15.5,1.022
