strategy,universe,top_n,date,equity,daily_return,holdings
S&P 500 Top1 PIT membership,S&P 500,1,2025-06-20,4.134220258401428,0.011867155026955789,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-06-23,4.081620290665912,-0.012723068546873995,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-06-24,4.142741802914372,0.01497481585639826,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-06-25,4.245884551001801,0.024897218555804956,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-06-26,4.256463282898348,0.002491526034086755,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-06-27,4.257050666392795,0.00013799801746361418,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-06-30,4.04900257135025,-0.048871416233068565,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-07-01,3.974951896458762,-0.01828862135466469,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-07-02,3.8578809130741276,-0.029452176135497776,NRG
S&P 500 Top1 PIT membership,S&P 500,1,2025-07-03,3.8727622788429055,0.003857393762038086,NRG
S&P 500 Top1 PIT membership,S&P 500,1,2025-07-07,3.929561434575743,0.014666316092555975,NRG
S&P 500 Top1 PIT membership,S&P 500,1,2025-07-08,3.9312981434713774,0.0004419599806617658,NRG
S&P 500 Top1 PIT membership,S&P 500,1,2025-07-09,3.7921524455775844,-0.03539433866771702,NRG
S&P 500 Top1 PIT membership,S&P 500,1,2025-07-10,3.7298962498112016,-0.016417113146119933,NRG
S&P 500 Top1 PIT membership,S&P 500,1,2025-07-11,3.735849150887416,0.001595996423899404,NRG
S&P 500 Top1 PIT membership,S&P 500,1,2025-07-14,3.7348570522106996,-0.0002655617602976834,NRG
S&P 500 Top1 PIT membership,S&P 500,1,2025-07-15,3.766605461049024,0.008500568668225794,NRG
S&P 500 Top1 PIT membership,S&P 500,1,2025-07-16,3.644574051272879,-0.032398245857732766,NRG
S&P 500 Top1 PIT membership,S&P 500,1,2025-07-17,3.622995258622018,-0.005920799618085559,NRG
S&P 500 Top1 PIT membership,S&P 500,1,2025-07-18,3.7147667140612817,0.025330272023090794,NRG
S&P 500 Top1 PIT membership,S&P 500,1,2025-07-21,3.767597162169004,0.014221740468316924,NRG
S&P 500 Top1 PIT membership,S&P 500,1,2025-07-22,3.782231256970927,0.003884198382158921,NRG
S&P 500 Top1 PIT membership,S&P 500,1,2025-07-23,3.9685027439098866,0.04924910040750352,NRG
S&P 500 Top1 PIT membership,S&P 500,1,2025-07-24,3.993553341904677,0.006312354963905031,NRG
S&P 500 Top1 PIT membership,S&P 500,1,2025-07-25,3.9295620574218306,-0.016023645862290214,NRG
S&P 500 Top1 PIT membership,S&P 500,1,2025-07-28,3.919144093160044,-0.0026511769274925046,NRG
S&P 500 Top1 PIT membership,S&P 500,1,2025-07-29,3.9575889276507112,0.009809497578250337,NRG
S&P 500 Top1 PIT membership,S&P 500,1,2025-07-30,4.008188086826484,0.012785349893782216,NRG
S&P 500 Top1 PIT membership,S&P 500,1,2025-07-31,4.149317688117143,0.03521032402508806,NRG
S&P 500 Top1 PIT membership,S&P 500,1,2025-08-01,4.03293878988526,-0.028047719403402005,NRG
S&P 500 Top1 PIT membership,S&P 500,1,2025-08-04,4.107086620514488,0.01838555814811582,SMCI
S&P 500 Top1 PIT membership,S&P 500,1,2025-08-05,4.152987799628229,0.011176092289962858,SMCI
S&P 500 Top1 PIT membership,S&P 500,1,2025-08-06,3.3423042946913006,-0.195204884784275,SMCI
S&P 500 Top1 PIT membership,S&P 500,1,2025-08-07,3.3295932072254213,-0.003803091024976002,SMCI
S&P 500 Top1 PIT membership,S&P 500,1,2025-08-08,3.3126450008100483,-0.005090173291618427,SMCI
S&P 500 Top1 PIT membership,S&P 500,1,2025-08-11,3.183415970750413,-0.03901082972308678,SMCI
S&P 500 Top1 PIT membership,S&P 500,1,2025-08-12,3.2250797615320588,0.01308776206579898,SMCI
S&P 500 Top1 PIT membership,S&P 500,1,2025-08-13,3.278748857361905,0.01664116852860431,SMCI
S&P 500 Top1 PIT membership,S&P 500,1,2025-08-14,3.202482332566629,-0.023260862027913887,SMCI
S&P 500 Top1 PIT membership,S&P 500,1,2025-08-15,3.19612678883369,-0.0019845679297926244,SMCI
S&P 500 Top1 PIT membership,S&P 500,1,2025-08-18,3.197539161816855,0.00044190142521860487,SMCI
S&P 500 Top1 PIT membership,S&P 500,1,2025-08-19,3.2377908489979372,0.01258833282223537,SMCI
S&P 500 Top1 PIT membership,S&P 500,1,2025-08-20,3.0577174690747855,-0.05561612479659783,SMCI
S&P 500 Top1 PIT membership,S&P 500,1,2025-08-21,3.0082854921944326,-0.016166299659893024,SMCI
S&P 500 Top1 PIT membership,S&P 500,1,2025-08-22,2.941199526481029,-0.02230039864483302,SMCI
S&P 500 Top1 PIT membership,S&P 500,1,2025-08-25,3.0789025250570496,0.04681865250426376,SMCI
S&P 500 Top1 PIT membership,S&P 500,1,2025-08-26,3.1113865649046315,0.0105505255795586,SMCI
S&P 500 Top1 PIT membership,S&P 500,1,2025-08-27,3.1332776726871776,0.0070358045604073105,SMCI
S&P 500 Top1 PIT membership,S&P 500,1,2025-08-28,3.165055391351875,0.010142005268701348,SMCI
S&P 500 Top1 PIT membership,S&P 500,1,2025-08-29,3.022408952643477,-0.045069176071345196,SMCI
S&P 500 Top1 PIT membership,S&P 500,1,2025-09-02,2.826799739288117,-0.06471963801730907,SMCI
S&P 500 Top1 PIT membership,S&P 500,1,2025-09-03,2.806384604905384,-0.007221995282861493,GEV
S&P 500 Top1 PIT membership,S&P 500,1,2025-09-04,2.780177187319412,-0.009338498201623135,GEV
S&P 500 Top1 PIT membership,S&P 500,1,2025-09-05,2.8718429877245306,0.03297120803062947,GEV
S&P 500 Top1 PIT membership,S&P 500,1,2025-09-08,2.845276763608688,-0.009250583764292775,GEV
S&P 500 Top1 PIT membership,S&P 500,1,2025-09-09,2.9024300747222265,0.02008708321261876,GEV
S&P 500 Top1 PIT membership,S&P 500,1,2025-09-10,2.9917026276180985,0.030757865167317044,GEV
S&P 500 Top1 PIT membership,S&P 500,1,2025-09-11,3.1053871201406213,0.0379999306993406,GEV
S&P 500 Top1 PIT membership,S&P 500,1,2025-09-12,3.0257840551975104,-0.02563386201573037,GEV
S&P 500 Top1 PIT membership,S&P 500,1,2025-09-15,3.016354360525747,-0.003116446679519602,GEV
S&P 500 Top1 PIT membership,S&P 500,1,2025-09-16,3.0132429274817314,-0.001031521058909357,GEV
S&P 500 Top1 PIT membership,S&P 500,1,2025-09-17,2.9505367361049033,-0.020810201130790906,GEV
S&P 500 Top1 PIT membership,S&P 500,1,2025-09-18,2.98193762481335,0.010642432722223871,GEV
S&P 500 Top1 PIT membership,S&P 500,1,2025-09-19,2.927991402157171,-0.018090996339856558,GEV
S&P 500 Top1 PIT membership,S&P 500,1,2025-09-22,2.9682952792191255,0.013765025755287708,GEV
S&P 500 Top1 PIT membership,S&P 500,1,2025-09-23,3.0859050326264374,0.03962198580130871,GEV
S&P 500 Top1 PIT membership,S&P 500,1,2025-09-24,3.0635035786173885,-0.007259281725200406,GEV
