strategy,date,equity,daily_return,holding
Top1 current-member baseline,2023-03-06,3.693985466652428,0.02070176193454576,WYNN
Top1 current-member baseline,2023-03-07,3.657159981557344,-0.00996903897633794,WYNN
Top1 current-member baseline,2023-03-08,3.6019213235928933,-0.015104249812152859,WYNN
Top1 current-member baseline,2023-03-09,3.5812860813565113,-0.005728954183762847,WYNN
Top1 current-member baseline,2023-03-10,3.444460158341539,-0.03820580649148975,WYNN
Top1 current-member baseline,2023-03-13,3.396523635456067,-0.013916991540570689,WYNN
Top1 current-member baseline,2023-03-14,3.421285972402296,0.007290494518494395,WYNN
Top1 current-member baseline,2023-03-15,3.3571579935754334,-0.018743823037345897,WYNN
Top1 current-member baseline,2023-03-16,3.278110291830156,-0.0235460177616158,WYNN
Top1 current-member baseline,2023-03-17,3.4028723978777475,0.03805915449474928,WYNN
Top1 current-member baseline,2023-03-20,3.3955709854125677,-0.002145661550440048,WYNN
Top1 current-member baseline,2023-03-21,3.4752544200091653,0.02346687344747589,WYNN
Top1 current-member baseline,2023-03-22,3.457158855793665,-0.005206975383244772,WYNN
Top1 current-member baseline,2023-03-23,3.3876346310978414,-0.020110219864300394,WYNN
Top1 current-member baseline,2023-03-24,3.328586610131376,-0.017430457353462936,WYNN
Top1 current-member baseline,2023-03-27,3.3879521168151645,0.017835049418000626,WYNN
Top1 current-member baseline,2023-03-28,3.3866818528002254,-0.0003749356458241371,WYNN
Top1 current-member baseline,2023-03-29,3.440650444332043,0.015935536279321427,WYNN
Top1 current-member baseline,2023-03-30,3.5006505832908,0.017438603522656138,WYNN
Top1 current-member baseline,2023-03-31,3.474936738908005,-0.00734544730214759,WYNN
Top1 current-member baseline,2023-04-03,3.661603736482727,0.05371809952240514,WYNN
Top1 current-member baseline,2023-04-04,3.7256874949263885,0.017501554798285968,AXON
Top1 current-member baseline,2023-04-05,3.616156579987228,-0.029398846545320434,AXON
Top1 current-member baseline,2023-04-06,3.5474954280439666,-0.018987328237734746,AXON
Top1 current-member baseline,2023-04-10,3.5747963997913184,0.007695844096522242,AXON
Top1 current-member baseline,2023-04-11,3.672720441731215,0.027392900458782288,AXON
Top1 current-member baseline,2023-04-12,3.678278669630841,0.0015133816983374793,AXON
Top1 current-member baseline,2023-04-13,3.6694509105813915,-0.002399970160590237,AXON
Top1 current-member baseline,2023-04-14,3.6349568206348835,-0.009400341028419135,AXON
Top1 current-member baseline,2023-04-17,3.6782786696308407,0.011918119288248041,AXON
Top1 current-member baseline,2023-04-18,3.6939727683789303,0.004266696506076473,AXON
Top1 current-member baseline,2023-04-19,3.692174488829141,-0.00048681451178611557,AXON
Top1 current-member baseline,2023-04-20,3.667816020281861,-0.0065973232362060985,AXON
Top1 current-member baseline,2023-04-21,3.6719029965814505,0.001114280617400043,AXON
Top1 current-member baseline,2023-04-24,3.6727204417312147,0.00022262166253450566,AXON
Top1 current-member baseline,2023-04-25,3.660132484882692,-0.0034274203681533555,AXON
Top1 current-member baseline,2023-04-26,3.596539143639044,-0.017374600921224892,AXON
Top1 current-member baseline,2023-04-27,3.5435718409946353,-0.014727297696200181,AXON
Top1 current-member baseline,2023-04-28,3.4955092092488176,-0.013563329291026105,AXON
Top1 current-member baseline,2023-05-01,3.4548028355031777,-0.01164533443022675,AXON
Top1 current-member baseline,2023-05-02,3.5590426907308883,0.030172446935753605,NVDA
Top1 current-member baseline,2023-05-03,3.4548028838721025,-0.029288720568108384,NVDA
Top1 current-member baseline,2023-05-04,3.431348976375464,-0.006788783118749642,NVDA
Top1 current-member baseline,2023-05-05,3.4530658233960803,0.0063289531814265665,NVDA
Top1 current-member baseline,2023-05-08,3.539434958070217,0.025012304743496916,NVDA
Top1 current-member baseline,2023-05-09,3.5862193190960485,0.013218031007790954,NVDA
Top1 current-member baseline,2023-05-10,3.599373639201497,0.0036680188619262477,NVDA
Top1 current-member baseline,2023-05-11,3.585847061060425,-0.003758036674423426,NVDA
Top1 current-member baseline,2023-05-12,3.5403038249898913,-0.012700830597349944,NVDA
Top1 current-member baseline,2023-05-15,3.5376983761485223,-0.0007359393346350052,NVDA
Top1 current-member baseline,2023-05-16,3.579021675342277,0.011680842966251825,NVDA
Top1 current-member baseline,2023-05-17,3.6712243246512895,0.025761970078092444,NVDA
Top1 current-member baseline,2023-05-18,3.7737266651308885,0.027920478678277183,NVDA
Top1 current-member baseline,2023-05-19,3.913457487002867,0.03702727681977791,NVDA
Top1 current-member baseline,2023-05-22,3.834657225971227,-0.02013571408232917,NVDA
Top1 current-member baseline,2023-05-23,3.8469429075449115,0.0032038539169749747,NVDA
Top1 current-member baseline,2023-05-24,3.748907901616105,-0.02548387337294067,NVDA
Top1 current-member baseline,2023-05-25,4.7805087674764595,0.27517370203083535,NVDA
Top1 current-member baseline,2023-05-26,4.701956738688422,-0.01643172988667141,NVDA
Top1 current-member baseline,2023-05-30,5.037633801498347,0.07139092966294713,NVDA
Top1 current-member baseline,2023-05-31,4.900260465525515,-0.027269416830570936,NVDA
Top1 current-member baseline,2023-06-01,4.776289503344902,-0.02529885157182521,NVDA
Top1 current-member baseline,2023-06-02,4.897717726087296,0.025423128697989572,META
Top1 current-member baseline,2023-06-05,4.855325252773467,-0.008655556666328446,META
Top1 current-member baseline,2023-06-06,4.852452307290628,-0.0005917102013294206,META
Top1 current-member baseline,2023-06-07,4.879934316661911,0.005663530032019581,META
Top1 current-member baseline,2023-06-08,4.6814469633223,-0.0406741854417797,META
Top1 current-member baseline,2023-06-09,4.714857604947903,0.007136819425140217,META
Top1 current-member baseline,2023-06-12,4.7991025061794,0.01786796299915583,META
Top1 current-member baseline,2023-06-13,4.937594932784551,0.028857984680849214,META
Top1 current-member baseline,2023-06-14,4.883886519086912,-0.010877444267658909,META
Top1 current-member baseline,2023-06-15,4.891251090666425,0.0015079325759785878,META
Top1 current-member baseline,2023-06-16,5.1148874266129365,0.045721704284054976,META
Top1 current-member baseline,2023-06-20,5.006750699423248,-0.02114156542860557,META
Top1 current-member baseline,2023-06-21,5.09297248163111,0.017221105540125015,META
Top1 current-member baseline,2023-06-22,5.013037938769126,-0.01569506671207921,META
Top1 current-member baseline,2023-06-23,5.056688492525591,0.008707405427532677,META
Top1 current-member baseline,2023-06-26,5.185839565408098,0.025540642472520858,META
Top1 current-member baseline,2023-06-27,5.065668422982377,-0.023172938713206137,META
Top1 current-member baseline,2023-06-28,5.116144708174821,0.009964387910475825,META
Top1 current-member baseline,2023-06-29,5.110396311445866,-0.0011235797767350508,META
Top1 current-member baseline,2023-06-30,5.115067094500042,0.0009139766799914906,META
Top1 current-member baseline,2023-07-03,5.14991486555843,0.006812769102453764,META
Top1 current-member baseline,2023-07-05,5.267229562747084,0.022779929426257173,CVNA
Top1 current-member baseline,2023-07-06,5.030611928302497,-0.04492259766274187,CVNA
Top1 current-member baseline,2023-07-07,4.94113448832668,-0.017786591621669512,CVNA
Top1 current-member baseline,2023-07-10,5.837896180016653,0.1814890272281704,CVNA
Top1 current-member baseline,2023-07-11,6.842029946355687,0.1720026761997282,CVNA
Top1 current-member baseline,2023-07-12,7.4345686265685265,0.08660276041738846,CVNA
