strategy,signal_date,trade_date,action,ticker,security,sp500_date_added,price,score,skipped_not_yet_sp500_before_buy,equity_before_trade
Top1 PIT S&P membership,2020-05-29,2020-06-01,SELL,REGN,Regeneron Pharmaceuticals,2013-05-01,600.9401860123018,,,0.6776653293656326
Top1 PIT S&P membership,2020-05-29,2020-06-01,BUY,NEM,Newmont,1969-06-30,49.50257104907538,0.6452304565943132,2,0.6776653293656326
Top1 PIT S&P membership,2020-06-30,2020-07-01,SELL,NEM,Newmont,1969-06-30,52.09336770807269,,,0.713132034105034
Top1 PIT S&P membership,2020-06-30,2020-07-01,BUY,DXCM,Dexcom,2020-05-12,102.23999786376952,0.7516999302947409,4,0.713132034105034
Top1 PIT S&P membership,2020-07-31,2020-08-03,SELL,DXCM,Dexcom,2020-05-12,110.15499877929688,,,0.7683397886117801
Top1 PIT S&P membership,2020-07-31,2020-08-03,BUY,REGN,Regeneron Pharmaceuticals,2013-05-01,630.5801253921892,0.8025976354337103,3,0.7683397886117801
Top1 PIT S&P membership,2020-08-31,2020-09-01,SELL,REGN,Regeneron Pharmaceuticals,2013-05-01,611.4988896145213,,,0.7450899713823732
Top1 PIT S&P membership,2020-08-31,2020-09-01,BUY,PYPL,PayPal,2015-07-20,204.49667436265264,0.7863521033887175,7,0.7450899713823732
Top1 PIT S&P membership,2020-09-30,2020-10-01,SELL,PYPL,PayPal,2015-07-20,198.20032395667343,,,0.722149023523804
Top1 PIT S&P membership,2020-09-30,2020-10-01,BUY,APA,APA Corporation,1997-07-28,8.062786669038461,2.6992775260762403,2,0.722149023523804
Top1 PIT S&P membership,2020-10-30,2020-11-02,SELL,APA,APA Corporation,1997-07-28,7.247859145436521,,,0.6491594803833806
Top1 PIT S&P membership,2020-10-30,2020-11-02,BUY,FDX,FedEx,1980-12-31,237.1327523565141,1.210008043386798,4,0.6491594803833806
Top1 PIT S&P membership,2020-12-31,2021-01-04,SELL,FDX,FedEx,1980-12-31,235.5830367380054,,,0.6449170778655673
Top1 PIT S&P membership,2020-12-31,2021-01-04,BUY,TSLA,"Tesla, Inc.",2020-12-21,239.82000732421875,1.419042607101007,0,0.6449170778655673
Top1 PIT S&P membership,2021-01-29,2021-02-01,SELL,TSLA,"Tesla, Inc.",2020-12-21,271.42999267578125,,,0.7299217428714483
Top1 PIT S&P membership,2021-01-29,2021-02-01,BUY,TPR,"Tapestry, Inc.",2004-09-01,28.36586777942146,1.263909154472723,0,0.7299217428714483
Top1 PIT S&P membership,2021-03-31,2021-04-01,SELL,TPR,"Tapestry, Inc.",2004-09-01,36.67300574170485,,,0.9436843066278221
Top1 PIT S&P membership,2021-03-31,2021-04-01,BUY,OXY,Occidental Petroleum,1957-03-04,25.161750799115698,1.7862411490673895,0,0.9436843066278221
Top1 PIT S&P membership,2021-04-30,2021-05-03,SELL,OXY,Occidental Petroleum,1957-03-04,24.06409612360495,,,0.9025170802433792
Top1 PIT S&P membership,2021-04-30,2021-05-03,BUY,FANG,Diamondback Energy,2018-12-03,67.19346867456667,2.0395008671218466,1,0.9025170802433792
Top1 PIT S&P membership,2021-06-30,2021-07-01,SELL,FANG,Diamondback Energy,2018-12-03,78.46909363634184,,,1.053966980347622
Top1 PIT S&P membership,2021-06-30,2021-07-01,BUY,NUE,Nucor,1985-04-30,90.27283835338012,1.1540872724972449,1,1.053966980347622
Top1 PIT S&P membership,2021-08-31,2021-09-01,SELL,NUE,Nucor,1985-04-30,108.69037055348122,,,1.2689981143240223
Top1 PIT S&P membership,2021-08-31,2021-09-01,BUY,MRNA,Moderna,2021-07-21,382.8370056152344,1.6414417171707538,0,1.2689981143240223
