strategy,passed_is_dd_lt_50,top_n,lookback,skip,cash_filter,dca_steps,is_return,is_cagr,is_max_drawdown,is_sharpe,oos_return,oos_cagr,oos_max_drawdown,oos_sharpe
SMH_HIST_PIT Top3 L63 S21 smh_sma100 DCA1,True,3,63,21,smh_sma100,1,6.493841819116562,0.22322511429182224,-0.2993701987288917,0.9930835591556265,4.817832199560804,0.3171249950815149,-0.33889430159799516,1.0480304614075515
SMH_HIST_PIT Top3 L63 S21 smh_sma100 DCA3,True,3,63,21,smh_sma100,3,4.8366699921561285,0.19302073393451802,-0.28969052617160707,0.9716892713918752,3.811791029032344,0.27858363260242336,-0.25688953646656554,0.9805716435869203
SMH_HIST_PIT Top3 L63 S21 smh_sma200 DCA1,True,3,63,21,smh_sma200,1,3.63707903677778,0.16587455026297482,-0.4626391556933179,0.7495341353224959,7.097939134258429,0.3870482173020111,-0.26075962248022777,1.1436656017283877
SMH_HIST_PIT Top3 L63 S21 smh_sma200 DCA3,True,3,63,21,smh_sma200,3,3.5951909583662625,0.16481664197896673,-0.47093564612257144,0.7856011734556895,5.753276525818624,0.34820510452517217,-0.22733922416693908,1.0811804347731906
SMH_HIST_PIT Top3 L63 S21 both_sma200 DCA1,True,3,63,21,both_sma200,1,3.4079554468458273,0.1599791627878666,-0.4930565125553228,0.736092756494257,7.578923504849664,0.3996236605599053,-0.23729398192273476,1.1477145082691624
SMH_HIST_PIT Top3 L63 S21 both_sma200 DCA3,True,3,63,21,both_sma200,3,3.4443606985163226,0.16093403847684784,-0.49222388250306737,0.7789031546536309,5.966464591456658,0.35477558846388835,-0.23729398192273476,1.0715858246281489
SMH_HIST_PIT Top3 L126 S0 none DCA1,True,3,126,0,none,1,10.748431755953128,0.2795048887464142,-0.43188457710455885,0.9947809548592685,6.628997115225314,0.37416560285358846,-0.43071878576864364,0.9922093665478022
SMH_HIST_PIT Top3 L126 S0 none DCA3,True,3,126,0,none,3,12.251764540939044,0.2950110652534399,-0.43188457710455874,1.0521280877683834,6.628997115225314,0.37416560285358846,-0.43071878576864364,0.9922093665478022
SMH_HIST_PIT Top3 L126 S0 smh_sma100 DCA1,True,3,126,0,smh_sma100,1,5.826030816900882,0.21185621915515251,-0.4064595931602307,0.9457476419898972,5.190463541929664,0.32997810572903385,-0.3287832676778859,1.0187959788112833
SMH_HIST_PIT Top3 L126 S0 smh_sma100 DCA3,True,3,126,0,smh_sma100,3,4.819004532696,0.19265900904750777,-0.3720717213326159,0.9614060547006503,4.185297414888039,0.2936230477110724,-0.27114390589846527,0.9783083430618624
SMH_HIST_PIT Top3 L126 S0 smh_sma200 DCA1,True,3,126,0,smh_sma200,1,3.093406224706789,0.1514196368573435,-0.46266920945937684,0.6767118628591346,6.545538106051902,0.3718031615287296,-0.2826150003890928,1.0716632663962462
SMH_HIST_PIT Top3 L126 S0 smh_sma200 DCA3,True,3,126,0,smh_sma200,3,3.165696960181852,0.1534379252131357,-0.43512309393099724,0.7204464032682102,5.577874406799299,0.3426666578219053,-0.2474331166841296,1.0298760109012186
SMH_HIST_PIT Top3 L126 S0 both_sma200 DCA1,True,3,126,0,both_sma200,1,3.0821137468433903,0.15110146911300948,-0.4674497390580935,0.6759892133740429,6.7588962164512445,0.37779958943468217,-0.2826150003890928,1.0804693049270533
SMH_HIST_PIT Top3 L126 S0 both_sma200 DCA3,True,3,126,0,both_sma200,3,3.104274702669561,0.15172511320952164,-0.44646683446776103,0.7134054027794097,5.645364269053611,0.3448122777409355,-0.2474331166841296,1.034457025801913
SMH_HIST_PIT Top3 L126 S21 none DCA1,True,3,126,21,none,1,18.82256580153743,0.3482464335897022,-0.3872911609969911,1.1716675715462836,6.036525100957,0.35689783963805266,-0.36410639937213196,0.9708811390030041
SMH_HIST_PIT Top3 L126 S21 none DCA3,True,3,126,21,none,3,21.359067155166326,0.36458568118311496,-0.3872911609969911,1.2334101980391932,6.036525100957,0.35689783963805266,-0.36410639937213196,0.9708811390030041
SMH_HIST_PIT Top3 L126 S21 smh_sma100 DCA1,True,3,126,21,smh_sma100,1,8.940291803797189,0.258290422966966,-0.3548153247406032,1.090440899637857,5.156975351896707,0.32885010482823573,-0.28830871824015436,1.0492947536016606
SMH_HIST_PIT Top3 L126 S21 smh_sma100 DCA3,True,3,126,21,smh_sma100,3,7.580338657071437,0.23990609715943223,-0.3150394438438304,1.128084528645746,3.683417433442938,0.27318676267116193,-0.21978390826807737,0.9615869941864603
