strategy,passed_is_dd_lt_50,universe,top_n,lookback,skip,cash_filter,dca_steps,is_return,is_cagr,is_max_drawdown,is_sharpe,is_calmar,oos_return,oos_cagr,oos_max_drawdown,oos_sharpe,oos_calmar
COMBINED Top1 L63 S21 benchmark_sma200 DCA1,True,COMBINED,1,63,21,benchmark_sma200,1,7.201974184967485,0.23432460929967647,-0.46543518857371935,0.6743720190329272,0.5034527149048214,2.4105550278851773,0.2116643441019901,-0.7238801693368986,0.5238966370884611,0.29240246254553787
COMBINED Top1 L63 S21 benchmark_sma200 DCA3,True,COMBINED,1,63,21,benchmark_sma200,3,4.949954427593862,0.19531724327080813,-0.455614371429956,0.6089093993134683,0.42868982086276286,2.2609601778279527,0.20318927273333043,-0.6964502071536564,0.5113588543915621,0.29174989201848456
COMBINED Top1 L63 S21 benchmark_sma100 DCA1,True,COMBINED,1,63,21,benchmark_sma100,1,3.3600496254006416,0.15871176474600412,-0.4808470778271292,0.5761582526148964,0.3300670255982362,8.077843603951925,0.41226329736911005,-0.5603035629764201,0.7123227626824821,0.7357856073216864
COMBINED Top1 L63 S21 benchmark_sma100 DCA3,True,COMBINED,1,63,21,benchmark_sma100,3,2.300768433492775,0.12689334168325295,-0.4452189715891358,0.5189182868166912,0.28501333002573553,5.330305222108417,0.3347986140241894,-0.5106479959344734,0.6422385795970391,0.655634833955465
COMBINED Top1 L63 S21 both_sma200 DCA1,True,COMBINED,1,63,21,both_sma200,1,3.973813927403314,0.17407969334490736,-0.46543518857371946,0.5646262328063775,0.37401489534634785,1.7292754514948232,0.17013909587796006,-0.7821440581204702,0.47934384106025846,0.21752910363701095
COMBINED Top1 L63 S21 both_sma200 DCA3,True,COMBINED,1,63,21,both_sma200,3,2.726712019262846,0.14065958998172667,-0.46876294921055206,0.5024165223262226,0.30006550265675386,1.6095631030374489,0.16195447577496025,-0.7605020766923373,0.46607414759812477,0.2129573090442451
COMBINED Top1 L126 S0 none DCA1,False,COMBINED,1,126,0,none,1,-0.4362731691456718,-0.05572901896045457,-0.7574717087435615,0.10999051200303023,-0.07357240979058317,19.33599953121331,0.6022555454142178,-0.5053954749154941,0.8780591423772067,1.1916520335187397
COMBINED Top1 L126 S0 none DCA3,False,COMBINED,1,126,0,none,3,-0.3379157508180314,-0.04041385690422339,-0.7574717087435614,0.14029362617656052,-0.0533536189374768,19.33599953121331,0.6022555454142178,-0.5053954749154941,0.8780591423772067,1.1916520335187397
COMBINED Top1 L126 S0 benchmark_sma200 DCA1,False,COMBINED,1,126,0,benchmark_sma200,1,-0.4686170811672462,-0.06129425141083222,-0.7321183723349622,0.08647797104870573,-0.08372177741605505,4.030818511797892,0.2876568301594362,-0.5794347928003627,0.6049728355813694,0.4964438341184405
COMBINED Top1 L126 S0 benchmark_sma200 DCA3,False,COMBINED,1,126,0,benchmark_sma200,3,-0.5458173763905062,-0.07592128077985472,-0.751127321427607,0.03852037168728982,-0.10107644684732979,2.590637095337518,0.221460273714144,-0.5676340193827087,0.5317670577626229,0.3901462318184838
COMBINED Top1 L126 S0 benchmark_sma100 DCA1,False,COMBINED,1,126,0,benchmark_sma100,1,-0.27113674055026293,-0.031144603199998344,-0.7004113669660095,0.14529058652689655,-0.04446615898726523,5.615705604161411,0.3440418374880201,-0.6237950272248367,0.65776043372158,0.5515302663097631
COMBINED Top1 L126 S0 benchmark_sma100 DCA3,False,COMBINED,1,126,0,benchmark_sma100,3,-0.27685130575402206,-0.031907229206975085,-0.6473205770494572,0.1216209431977355,-0.04929123271874189,4.469132427809598,0.30460066749559034,-0.5001270134374138,0.6148294344893291,0.6090466207814792
COMBINED Top1 L126 S0 both_sma200 DCA1,False,COMBINED,1,126,0,both_sma200,1,-0.4686170811672462,-0.06129425141083222,-0.7321183723349622,0.08647797104870573,-0.08372177741605505,4.030818511797892,0.2876568301594362,-0.5794347928003627,0.6049728355813694,0.4964438341184405
COMBINED Top1 L126 S0 both_sma200 DCA3,False,COMBINED,1,126,0,both_sma200,3,-0.5458173763905062,-0.07592128077985472,-0.751127321427607,0.03852037168728982,-0.10107644684732979,2.590637095337518,0.221460273714144,-0.5676340193827087,0.5317670577626229,0.3901462318184838
