date,equity,exposure,units,held,base_allocation
2023-06-15,250.77872947409716,1.0,1.0,TQQQ,TQQQ
2023-06-16,245.95609594595356,1.0,1.0,TQQQ,TQQQ
2023-06-20,244.75041970381136,1.0,1.0,TQQQ,TQQQ
2023-06-21,234.94153026040664,1.0,1.0,TQQQ,TQQQ
2023-06-22,242.7427294352203,1.0,1.0,TQQQ,TQQQ
2023-06-23,235.54632108643244,1.0,1.0,TQQQ,TQQQ
2023-06-26,226.23327582066716,1.0,1.0,TQQQ,TQQQ
2023-06-27,237.42098928335446,1.0,1.0,TQQQ,TQQQ
2023-06-28,238.87237296113605,1.0,1.0,TQQQ,TQQQ
2023-06-29,237.23953060341918,1.0,1.0,TQQQ,TQQQ
2023-06-30,247.94347332032098,1.0,1.0,TQQQ,TQQQ
2023-07-03,249.63673046425782,1.0,1.0,TQQQ,TQQQ
2023-07-05,249.45531941127265,1.0,1.0,TQQQ,TQQQ
2023-07-06,243.5892746600261,1.0,1.0,TQQQ,TQQQ
2023-07-07,241.1098870775035,1.0,1.0,TQQQ,TQQQ
2023-07-10,241.29129813048866,1.0,1.0,TQQQ,TQQQ
2023-07-11,244.73837008543256,1.0,1.0,TQQQ,TQQQ
2023-07-12,253.80944663114244,1.0,1.0,TQQQ,TQQQ
2023-07-13,266.4484961446612,1.0,1.0,TQQQ,TQQQ
2023-07-14,266.206622678506,1.0,1.0,TQQQ,TQQQ
2023-07-17,273.584418266804,1.0,1.0,TQQQ,TQQQ
2023-07-18,280.1156686302963,1.0,1.0,TQQQ,TQQQ
2023-07-19,280.1156686302963,1.0,1.0,TQQQ,TQQQ
2023-07-20,260.4615741940247,1.0,1.0,TQQQ,TQQQ
2023-07-21,258.16357385101225,1.0,1.0,TQQQ,TQQQ
2023-07-24,259.1916015692283,1.0,1.0,TQQQ,TQQQ
2023-07-25,264.39239308127907,1.0,1.0,TQQQ,TQQQ
2023-07-26,261.6710605921761,1.0,1.0,TQQQ,TQQQ
2023-07-27,259.4334988488586,1.0,1.0,TQQQ,TQQQ
2023-07-28,273.4634696269889,1.0,1.0,TQQQ,TQQQ
2023-07-31,274.0077742263696,1.0,1.0,TQQQ,TQQQ
2023-08-01,271.89116112286723,1.0,1.0,TQQQ,TQQQ
2023-08-02,254.1118063239428,1.0,1.0,TQQQ,TQQQ
2023-08-03,252.29760054019084,1.0,1.0,TQQQ,TQQQ
2023-08-04,248.79008998555196,1.0,1.0,TQQQ,TQQQ
2023-08-07,254.95842298917364,1.0,1.0,TQQQ,TQQQ
2023-08-08,248.4272678795816,1.0,1.0,TQQQ,TQQQ
2023-08-09,240.14229795898245,1.0,1.0,TQQQ,TQQQ
2023-08-10,241.23083571731866,1.0,1.0,TQQQ,TQQQ
2023-08-11,236.39291393818837,1.0,1.0,TQQQ,TQQQ
2023-08-14,244.25452789922196,1.0,1.0,TQQQ,TQQQ
2023-08-15,236.75573604415874,1.0,1.0,TQQQ,TQQQ
2023-08-16,228.89414589660024,1.0,1.0,TQQQ,TQQQ
2023-08-17,221.1534805753818,1.0,1.0,TQQQ,TQQQ
2023-08-18,220.12540523021562,1.0,1.0,TQQQ,TQQQ
2023-08-21,230.76886172047233,1.0,1.0,TQQQ,TQQQ
2023-08-22,229.74073874835605,1.0,1.0,TQQQ,TQQQ
2023-08-23,240.56563010507298,1.0,1.0,TQQQ,TQQQ
2023-08-24,224.72142972971562,1.0,1.0,TQQQ,TQQQ
2023-08-25,230.04316988158152,1.0,1.0,TQQQ,TQQQ
2023-08-28,235.1834513535121,1.0,1.0,TQQQ,TQQQ
2023-08-29,250.18098743668847,1.0,1.0,TQQQ,TQQQ
2023-08-30,254.353679790098,1.0,1.0,TQQQ,TQQQ
2023-08-31,256.65170394658554,1.0,1.0,TQQQ,TQQQ
2023-09-01,255.74460105470956,1.0,1.0,TQQQ,TQQQ
2023-09-05,256.40980666695526,1.0,1.0,TQQQ,TQQQ
2023-09-06,249.63673046425788,1.0,1.0,TQQQ,TQQQ
2023-09-07,244.19406548605193,1.0,1.0,TQQQ,TQQQ
2023-09-08,244.91973351146768,1.0,1.0,TQQQ,TQQQ
2023-09-11,253.26518965871188,1.0,1.0,TQQQ,TQQQ
2023-09-12,245.16163079109793,1.0,1.0,TQQQ,TQQQ
2023-09-13,247.58060358740062,1.0,1.0,TQQQ,TQQQ
2023-09-14,253.38613829852704,1.0,1.0,TQQQ,TQQQ
2023-09-15,240.38421905208781,1.0,1.0,TQQQ,TQQQ
2023-09-18,240.92842839756824,1.0,1.0,TQQQ,TQQQ
2023-09-19,239.4770685332617,1.0,1.0,TQQQ,TQQQ
2023-09-20,229.09355993672855,1.0,1.0,TQQQ,TQQQ
2023-09-21,216.04584737775448,1.0,1.0,TQQQ,TQQQ
2023-09-22,216.22792520804123,1.0,1.0,TQQQ,TQQQ
2023-09-25,219.0801127425831,1.0,1.0,TQQQ,TQQQ
2023-09-26,209.30956299402033,1.0,1.0,TQQQ,TQQQ
2023-09-27,210.5840125521275,1.0,1.0,TQQQ,TQQQ
2023-09-28,215.68171553065594,1.0,1.0,TQQQ,TQQQ
2023-09-29,216.1672008466455,1.0,1.0,TQQQ,TQQQ
2023-10-02,221.32562818656962,1.0,1.0,TQQQ,TQQQ
2023-10-03,209.6130181066732,1.0,1.0,TQQQ,TQQQ
