strategy,top_n,signal_date,trade_date,action,ticker,company,nasdaq100_date_added,date_source,price,old_weight,new_weight,rank,score,skipped_not_yet_nasdaq100_before_buy,equity_before_trade
Nasdaq-100 Top1 current-member baseline,1,2020-09-30,2020-10-01,BUY,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,146.9199981689453,0.0,1.0,1,4.174017995285337,0,1.435088197606143
Nasdaq-100 Top1 current-member baseline,1,2020-12-31,2021-01-04,SELL,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,239.82000732421875,1.0,0.0,,,,2.3425188289551127
Nasdaq-100 Top1 current-member baseline,1,2020-12-31,2021-01-04,BUY,MSTR,MicroStrategy,2024-12-23,Wikipedia Nasdaq-100 changes table,41.632999420166016,0.0,1.0,1,1.7609716637224797,0,2.3425188289551127
Nasdaq-100 Top1 current-member baseline,1,2021-06-30,2021-07-01,SELL,MSTR,MicroStrategy,2024-12-23,Wikipedia Nasdaq-100 changes table,65.05899810791016,1.0,0.0,,,,3.660604092505399
Nasdaq-100 Top1 current-member baseline,1,2021-06-30,2021-07-01,BUY,FANG,Diamondback Energy,2022-12-19,Wikipedia Nasdaq-100 changes table,78.46908620610809,0.0,1.0,1,0.862541427589512,0,3.660604092505399
Nasdaq-100 Top1 current-member baseline,1,2021-08-31,2021-09-01,SELL,FANG,Diamondback Energy,2022-12-19,Wikipedia Nasdaq-100 changes table,62.78097823968585,1.0,0.0,,,,2.928749613217713
Nasdaq-100 Top1 current-member baseline,1,2021-08-31,2021-09-01,BUY,FTNT,Fortinet,2021-12-20,Wikipedia Nasdaq-100 changes table,63.507999420166016,0.0,1.0,1,0.6754178500113119,0,2.928749613217713
Nasdaq-100 Top1 current-member baseline,1,2021-10-29,2021-11-01,SELL,FTNT,Fortinet,2021-12-20,Wikipedia Nasdaq-100 changes table,67.26799774169922,1.0,0.0,,,,3.102146566836645
Nasdaq-100 Top1 current-member baseline,1,2021-10-29,2021-11-01,BUY,DDOG,Datadog,2021-12-20,Wikipedia Nasdaq-100 changes table,167.4600067138672,0.0,1.0,1,0.7631284686528661,0,3.102146566836645
Nasdaq-100 Top1 current-member baseline,1,2021-11-30,2021-12-01,SELL,DDOG,Datadog,2021-12-20,Wikipedia Nasdaq-100 changes table,182.8500061035156,1.0,0.0,,,,3.38724170511519
Nasdaq-100 Top1 current-member baseline,1,2021-11-30,2021-12-01,BUY,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,386.8999938964844,0.0,1.0,1,0.840957230808149,0,3.38724170511519
Nasdaq-100 Top1 current-member baseline,1,2022-01-31,2022-02-01,SELL,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,311.7366638183594,1.0,0.0,,,,2.7291999104593803
Nasdaq-100 Top1 current-member baseline,1,2022-01-31,2022-02-01,BUY,DDOG,Datadog,2021-12-20,Wikipedia Nasdaq-100 changes table,147.88999938964844,0.0,1.0,1,0.6028845030747563,0,2.7291999104593803
Nasdaq-100 Top1 current-member baseline,1,2022-02-28,2022-03-01,SELL,DDOG,Datadog,2021-12-20,Wikipedia Nasdaq-100 changes table,160.24000549316406,1.0,0.0,,,,2.957110084852463
Nasdaq-100 Top1 current-member baseline,1,2022-02-28,2022-03-01,BUY,FANG,Diamondback Energy,2022-12-19,Wikipedia Nasdaq-100 changes table,114.13524314726315,0.0,1.0,1,0.6855610904233194,0,2.957110084852463
Nasdaq-100 Top1 current-member baseline,1,2022-04-29,2022-05-02,SELL,FANG,Diamondback Energy,2022-12-19,Wikipedia Nasdaq-100 changes table,101.77687796798406,1.0,0.0,,,,2.636919359391938
Nasdaq-100 Top1 current-member baseline,1,2022-04-29,2022-05-02,BUY,BKR,Baker Hughes,2022-12-19,Wikipedia Nasdaq-100 changes table,27.896569016950824,0.0,1.0,1,0.49304865275139753,0,2.636919359391938
Nasdaq-100 Top1 current-member baseline,1,2022-05-31,2022-06-01,SELL,BKR,Baker Hughes,2022-12-19,Wikipedia Nasdaq-100 changes table,33.31261737313318,1.0,0.0,,,,3.1488705872702534
Nasdaq-100 Top1 current-member baseline,1,2022-05-31,2022-06-01,BUY,VRTX,Vertex Pharmaceuticals,,No add date found; assumed already member before test window,275.3299865722656,0.0,1.0,1,0.4371679572012275,0,3.1488705872702534
Nasdaq-100 Top1 current-member baseline,1,2022-06-30,2022-07-01,SELL,VRTX,Vertex Pharmaceuticals,,No add date found; assumed already member before test window,280.1700134277344,1.0,0.0,,,,3.2042245950066524
Nasdaq-100 Top1 current-member baseline,1,2022-06-30,2022-07-01,BUY,BKR,Baker Hughes,2022-12-19,Wikipedia Nasdaq-100 changes table,26.54613770617282,0.0,1.0,1,0.4999588441914331,0,3.2042245950066524
Nasdaq-100 Top1 current-member baseline,1,2022-07-29,2022-08-01,SELL,BKR,Baker Hughes,2022-12-19,Wikipedia Nasdaq-100 changes table,23.263206103683373,1.0,0.0,,,,2.8079616696480154
Nasdaq-100 Top1 current-member baseline,1,2022-07-29,2022-08-01,BUY,TMUS,T-Mobile US,2015-12-21,Wikipedia Nasdaq-100 changes table,137.49199170874357,0.0,1.0,1,0.2672827696615574,0,2.8079616696480154
Nasdaq-100 Top1 current-member baseline,1,2022-08-31,2022-09-01,SELL,TMUS,T-Mobile US,2015-12-21,Wikipedia Nasdaq-100 changes table,137.9631716128819,1.0,0.0,,,,2.8175844490832826
Nasdaq-100 Top1 current-member baseline,1,2022-08-31,2022-09-01,BUY,CEG,Constellation Energy,2022-02-02,Wikipedia Nasdaq-100 changes table,79.25524266217225,0.0,1.0,1,0.3344562993329263,0,2.8175844490832826
Nasdaq-100 Top1 current-member baseline,1,2022-09-30,2022-10-03,SELL,CEG,Constellation Energy,2022-02-02,Wikipedia Nasdaq-100 changes table,82.59678766722348,1.0,0.0,,,,2.936378927857089
Nasdaq-100 Top1 current-member baseline,1,2022-09-30,2022-10-03,BUY,PDD,PDD Holdings,2020-08-24,Wikipedia Nasdaq-100 changes table,62.40999984741211,0.0,1.0,1,0.777611617222383,0,2.936378927857089
Nasdaq-100 Top1 current-member baseline,1,2022-10-31,2022-11-01,SELL,PDD,PDD Holdings,2020-08-24,Wikipedia Nasdaq-100 changes table,59.630001068115234,1.0,0.0,,,,2.805580500442348
Nasdaq-100 Top1 current-member baseline,1,2022-10-31,2022-11-01,BUY,ALNY,Alnylam Pharmaceuticals,2025-12-22,Wikipedia Nasdaq-100 changes table,209.4600067138672,0.0,1.0,1,0.43948219539128597,0,2.805580500442348
