strategy,universe,top_n,signal_date,trade_date,selected,skipped_not_yet_index_count,first_skipped_tickers,equity_before_rebalance
S&P 500 Top3 PIT membership,S&P 500,3,2020-10-30,2020-11-02,"FDX, UPS, CARR",8,"CVNA, TSLA, XYZ, DDOG, GNRC, BLDR, CRWD, TTD",0.9052778040249443
S&P 500 Top3 PIT membership,S&P 500,3,2020-11-30,2020-12-01,"FDX, FCX, ALGN",6,"TSLA, GNRC, TTD, XYZ, FSLR, CVNA",1.0135697258703122
S&P 500 Top3 PIT membership,S&P 500,3,2020-12-31,2021-01-04,"TSLA, TPR, FCX",1,MRNA,1.0587058831508542
S&P 500 Top3 PIT membership,S&P 500,3,2021-01-29,2021-02-01,"TPR, TSLA, FCX",0,,1.1245905174327016
S&P 500 Top3 PIT membership,S&P 500,3,2021-02-26,2021-03-01,"TPR, PSKY, TSLA",1,MRNA,1.2697561288613726
S&P 500 Top3 PIT membership,S&P 500,3,2021-03-31,2021-04-01,"OXY, TPR, PSKY",2,"WBD, TPL",1.1460865684084993
S&P 500 Top3 PIT membership,S&P 500,3,2021-04-30,2021-05-03,"FANG, OXY, DVN",1,TPL,1.1517976920335482
S&P 500 Top3 PIT membership,S&P 500,3,2021-05-28,2021-06-01,"FANG, STX, AMAT",1,TPL,1.2472568235477095
S&P 500 Top3 PIT membership,S&P 500,3,2021-06-30,2021-07-01,"NUE, DVN, FANG",1,TPL,1.2797738396769163
S&P 500 Top3 PIT membership,S&P 500,3,2021-07-30,2021-08-02,"NUE, DVN, GNRC",2,"TPL, STLD",1.159336284571067
S&P 500 Top3 PIT membership,S&P 500,3,2021-08-31,2021-09-01,"MRNA, FTNT, NUE",1,BX,1.2778693284312492
S&P 500 Top3 PIT membership,S&P 500,3,2021-09-30,2021-10-01,"MRNA, FTNT, IT",1,BX,1.1536613842738273
S&P 500 Top3 PIT membership,S&P 500,3,2021-10-29,2021-11-01,"MRNA, DVN, IT",1,DDOG,1.2250591565019826
S&P 500 Top3 PIT membership,S&P 500,3,2021-11-30,2021-12-01,"TSLA, MRNA, DXCM",1,DDOG,1.250190134260084
S&P 500 Top3 PIT membership,S&P 500,3,2021-12-31,2022-01-03,"TSLA, AMD, NVDA",3,"BLDR, ON, DDOG",1.1247423834026868
S&P 500 Top3 PIT membership,S&P 500,3,2022-01-31,2022-02-01,"DVN, CF, ANET",3,"BLDR, DDOG, ON",0.9241225712221658
S&P 500 Top3 PIT membership,S&P 500,3,2022-02-28,2022-03-01,"APA, DVN, FANG",0,,1.0409550032484527
S&P 500 Top3 PIT membership,S&P 500,3,2022-03-31,2022-04-01,"APA, DVN, OXY",0,,1.0871110874556165
S&P 500 Top3 PIT membership,S&P 500,3,2022-04-29,2022-05-02,"CF, OXY, MOS",1,EQT,1.052740023442458
S&P 500 Top3 PIT membership,S&P 500,3,2022-05-31,2022-06-01,"OXY, MOS, VLO",1,EQT,1.1638441955786047
S&P 500 Top3 PIT membership,S&P 500,3,2022-06-30,2022-07-01,"OXY, HAL, VLO",1,EQT,0.9420959105492153
S&P 500 Top3 PIT membership,S&P 500,3,2022-07-29,2022-08-01,"OXY, LLY, VLO",2,"EQT, TPL",0.945207136304702
S&P 500 Top3 PIT membership,S&P 500,3,2022-08-31,2022-09-01,"EPAM, VLO, OXY",3,"EQT, TPL, FSLR",0.9617589522591424
S&P 500 Top3 PIT membership,S&P 500,3,2022-09-30,2022-10-03,"CEG, EPAM, EQT",2,"SMCI, FSLR",0.8815147442129201
S&P 500 Top3 PIT membership,S&P 500,3,2022-10-31,2022-11-01,"CEG, ALB, BIIB",4,"FSLR, ERIE, TPL, SMCI",0.9245606523623852
S&P 500 Top3 PIT membership,S&P 500,3,2022-11-30,2022-12-01,"DXCM, NFLX, CEG",2,"FSLR, ERIE",0.9532819592497647
S&P 500 Top3 PIT membership,S&P 500,3,2022-12-30,2023-01-03,"FSLR, RCL, NFLX",3,"SMCI, AXON, TPL",0.9064116371032838
S&P 500 Top3 PIT membership,S&P 500,3,2023-01-31,2023-02-01,"PCG, FSLR, SLB",2,"AXON, SMCI",1.105103519854512
S&P 500 Top3 PIT membership,S&P 500,3,2023-02-28,2023-03-01,"WYNN, NFLX, LVS",1,AXON,1.085625306017392
S&P 500 Top3 PIT membership,S&P 500,3,2023-03-31,2023-04-03,"NVDA, STLD, WYNN",2,"AXON, SMCI",1.1358148450624856
S&P 500 Top3 PIT membership,S&P 500,3,2023-04-28,2023-05-01,"NVDA, WYNN, FSLR",0,,1.1145364460124423
S&P 500 Top3 PIT membership,S&P 500,3,2023-05-31,2023-06-01,"META, NVDA, ALGN",0,,1.234263966302608
S&P 500 Top3 PIT membership,S&P 500,3,2023-06-30,2023-07-03,"NVDA, META, AMD",5,"CVNA, SMCI, APP, PLTR, COIN",1.4061898482986404
S&P 500 Top3 PIT membership,S&P 500,3,2023-07-31,2023-08-01,"NVDA, META, RCL",6,"CVNA, SMCI, APP, PLTR, BLDR, VRT",1.4976870889094616
S&P 500 Top3 PIT membership,S&P 500,3,2023-08-31,2023-09-01,"NVDA, META, CCL",6,"CVNA, SMCI, PLTR, APP, VRT, BLDR",1.469081636278661
S&P 500 Top3 PIT membership,S&P 500,3,2023-09-29,2023-10-02,"NVDA, LLY, CCL",6,"CVNA, APP, VRT, SMCI, PLTR, BLDR",1.3462574951376218
S&P 500 Top3 PIT membership,S&P 500,3,2023-10-31,2023-11-01,"NVDA, TSLA, CCL",10,"CVNA, SMCI, VRT, APP, PLTR, JBL, DELL, APO, COIN, CRWD",1.2617149334551403
S&P 500 Top3 PIT membership,S&P 500,3,2023-11-30,2023-12-01,"MPC, NRG, CF",8,"VRT, CVNA, DELL, APP, TPL, JBL, VST, WSM",1.5152279329118674
S&P 500 Top3 PIT membership,S&P 500,3,2023-12-29,2024-01-02,"KEY, ANET, INTC",7,"COIN, VRT, CRWD, APP, WSM, DELL, ERIE",1.5830219805930221
