strategy,top_n,date,equity,daily_return,holdings
Nasdaq-100 Top1 PIT membership,1,2022-09-14,5.9869405435934295,-0.0059840520288304555,CEG
Nasdaq-100 Top1 PIT membership,1,2022-09-15,6.090905977046992,0.01736536928946375,CEG
Nasdaq-100 Top1 PIT membership,1,2022-09-16,6.002882569533011,-0.014451611606826509,CEG
Nasdaq-100 Top1 PIT membership,1,2022-09-19,5.919017401163399,-0.013970816086801396,CEG
Nasdaq-100 Top1 PIT membership,1,2022-09-20,6.127639916810781,0.035246139943156285,CEG
Nasdaq-100 Top1 PIT membership,1,2022-09-21,6.153975707195667,0.004297868468516874,CEG
Nasdaq-100 Top1 PIT membership,1,2022-09-22,6.099221034864094,-0.008897446941096954,CEG
Nasdaq-100 Top1 PIT membership,1,2022-09-23,5.807083745337473,-0.04789747540820688,CEG
Nasdaq-100 Top1 PIT membership,1,2022-09-26,5.799112695303555,-0.00137264251446656,CEG
Nasdaq-100 Top1 PIT membership,1,2022-09-27,5.80049932550225,0.0002391107522048408,CEG
Nasdaq-100 Top1 PIT membership,1,2022-09-28,5.829608175651051,0.005018335235523974,CEG
Nasdaq-100 Top1 PIT membership,1,2022-09-29,5.894759982769547,0.011176018208328253,CEG
Nasdaq-100 Top1 PIT membership,1,2022-09-30,5.772083026045516,-0.020811187746849313,CEG
Nasdaq-100 Top1 PIT membership,1,2022-10-03,5.893372456141181,0.02101311251906246,CEG
Nasdaq-100 Top1 PIT membership,1,2022-10-04,6.090731042308572,0.03348822556798248,PDD
Nasdaq-100 Top1 PIT membership,1,2022-10-05,6.279590919589458,0.03100775193798455,PDD
Nasdaq-100 Top1 PIT membership,1,2022-10-06,6.257871716707123,-0.003458697096745733,PDD
Nasdaq-100 Top1 PIT membership,1,2022-10-07,6.042571932099462,-0.0344046337723507,PDD
Nasdaq-100 Top1 PIT membership,1,2022-10-10,5.807441226387243,-0.03891235526103609,PDD
Nasdaq-100 Top1 PIT membership,1,2022-10-11,5.391005211391755,-0.0717073145920668,PDD
Nasdaq-100 Top1 PIT membership,1,2022-10-12,5.291853847863615,-0.018391999198706488,PDD
Nasdaq-100 Top1 PIT membership,1,2022-10-13,5.03783708237898,-0.04800147033296931,PDD
Nasdaq-100 Top1 PIT membership,1,2022-10-14,5.3069626236372205,0.053420850427968514,PDD
Nasdaq-100 Top1 PIT membership,1,2022-10-17,5.157763147678939,-0.028113911202944375,PDD
Nasdaq-100 Top1 PIT membership,1,2022-10-18,5.4741036582574,0.06133288821546956,PDD
Nasdaq-100 Top1 PIT membership,1,2022-10-19,5.219142751883878,-0.046575827256929325,PDD
Nasdaq-100 Top1 PIT membership,1,2022-10-20,5.2172541098844745,-0.00036186823951545044,PDD
Nasdaq-100 Top1 PIT membership,1,2022-10-21,5.205922618109677,-0.002171926368955024,PDD
Nasdaq-100 Top1 PIT membership,1,2022-10-24,4.5468016896259815,-0.1266098205514683,PDD
Nasdaq-100 Top1 PIT membership,1,2022-10-25,4.408933705442497,-0.0303219699460493,PDD
Nasdaq-100 Top1 PIT membership,1,2022-10-26,4.540191622738882,0.029770898377164734,PDD
