date,equity,units,exposure,allocation
2012-05-08,10.260150068971852,2.0,1.34,TQQQ
2012-05-09,10.184098015899309,2.0,1.34,TQQQ
2012-05-10,10.044286524884146,2.0,1.34,TQQQ
2012-05-11,10.031037663009986,2.0,1.34,TQQQ
2012-05-14,9.961746342148464,3.0,0.25,TQQQ
2012-05-15,9.940011290025698,3.0,0.25,TQQQ
2012-05-16,9.886076444107871,3.0,0.25,TQQQ
2012-05-17,9.733999105437976,3.0,0.25,TQQQ
2012-05-18,9.636311652433585,3.0,0.25,TQQQ
2012-05-21,9.838937862829043,3.0,0.25,TQQQ
2012-05-22,9.829975382011,3.0,0.25,TQQQ
2012-05-23,9.84371741612785,3.0,0.25,TQQQ
2012-05-24,9.799499377552516,3.0,0.25,TQQQ
2012-05-25,9.785627346866123,3.0,0.25,TQQQ
2012-05-29,9.87672909441301,3.0,0.25,TQQQ
2012-05-30,9.816760234353648,3.0,0.25,TQQQ
2012-05-31,9.78170021685493,3.0,0.25,TQQQ
2012-06-01,9.589458506878545,3.0,0.25,TQQQ
2012-06-04,9.640879646020743,3.0,0.25,TQQQ
2012-06-05,9.674058578069163,3.0,0.25,TQQQ
2012-06-06,9.83937777595829,2.0,0.25,TQQQ
2012-06-07,9.811820689406687,3.0,0.25,TQQQ
2012-06-08,9.88396912490187,3.0,0.25,TQQQ
2012-06-11,9.765778276567106,3.0,0.25,TQQQ
2012-06-12,9.842837856960772,3.0,0.25,TQQQ
2012-06-13,9.794584537066912,3.0,0.25,TQQQ
2012-06-14,9.822033854297823,3.0,0.25,TQQQ
2012-06-15,9.912759246933383,3.0,0.25,TQQQ
2012-06-18,9.97665148854686,3.0,0.25,TQQQ
2012-06-19,10.058703403025845,3.0,0.25,TQQQ
2012-06-20,10.067657826523192,3.0,0.25,TQQQ
2012-06-21,9.87912190077811,3.0,0.25,TQQQ
2012-06-22,9.955960996878765,3.0,0.25,TQQQ
2012-06-25,9.808338729634437,3.0,0.25,TQQQ
2012-06-26,9.855739452340286,3.0,0.25,TQQQ
2012-06-27,9.900880456260007,3.0,0.25,TQQQ
2012-06-28,9.811821371372035,3.0,0.25,TQQQ
2012-06-29,10.051461641222366,3.0,0.25,TQQQ
2012-07-02,10.071565631807728,3.0,0.25,TQQQ
2012-07-03,10.13151618448478,3.0,0.25,TQQQ
2012-07-05,10.140351903334576,2.0,0.25,TQQQ
2012-07-06,10.040475817879166,2.0,0.25,TQQQ
2012-07-09,10.031896845756382,2.0,0.25,TQQQ
2012-07-10,9.954994196470096,3.0,0.25,TQQQ
2012-07-11,9.920809216813804,3.0,0.25,TQQQ
2012-07-12,9.84910790013351,3.0,0.25,TQQQ
2012-07-13,9.956115436184492,3.0,0.25,TQQQ
2012-07-16,9.937455595330121,3.0,0.25,TQQQ
2012-07-17,9.975512336202083,3.0,0.25,TQQQ
2012-07-18,10.077035444959819,3.0,0.25,TQQQ
2012-07-19,10.733393511422753,3.0,2.0,TQQQ
2012-07-20,10.630184323944206,3.0,0.25,TQQQ
2012-07-23,10.531859195677447,3.0,0.25,TQQQ
2012-07-24,10.471705210498989,3.0,0.25,TQQQ
2012-07-25,10.413284751445522,3.0,0.25,TQQQ
2012-07-26,10.515153656679471,3.0,0.25,TQQQ
2012-07-27,10.714234784323255,3.0,0.25,TQQQ
2012-07-30,10.698087637039466,3.0,0.25,TQQQ
2012-07-31,10.699655263315274,3.0,0.25,TQQQ
2012-08-01,10.673503930052917,3.0,0.25,TQQQ
2012-08-02,10.645575664564907,2.0,0.25,TQQQ
2012-08-03,11.456915928443689,2.0,1.34,TQQQ
2012-08-06,11.801882257276352,2.0,1.34,TQQQ
2012-08-07,12.1932221304119,2.0,1.34,TQQQ
2012-08-08,12.166702974667437,2.0,1.34,TQQQ
2012-08-09,12.305027960780162,2.0,1.34,TQQQ
2012-08-10,12.372910915604477,2.0,1.34,TQQQ
2012-08-13,12.473402297418101,2.0,1.34,TQQQ
2012-08-14,12.497082579448143,2.0,1.34,TQQQ
2012-08-15,12.615606782650856,2.0,1.34,TQQQ
2012-08-16,13.221471640453547,1.0,1.34,TQQQ
2012-08-17,13.343164658439179,1.0,0.67,TQQQ
2012-08-20,13.377567244524414,1.0,0.67,TQQQ
2012-08-21,13.27449991684666,1.0,0.67,TQQQ
2012-08-22,13.37046346314621,1.0,0.67,TQQQ
2012-08-23,13.171726865395218,1.0,0.67,TQQQ
2012-08-24,13.328290215474762,1.0,0.67,TQQQ
2012-08-27,13.371700267485467,1.0,0.67,TQQQ
2012-08-28,13.370206780153977,1.0,0.67,TQQQ
2012-08-29,13.373193021584699,1.0,0.67,TQQQ
2012-08-30,13.099733826501188,2.0,0.67,TQQQ
2012-08-31,13.474194367515116,2.0,1.34,TQQQ
2012-09-04,13.398135891575974,2.0,1.34,TQQQ
2012-09-05,13.316158961703893,2.0,1.34,TQQQ
2012-09-06,14.495632847763865,2.0,1.34,TQQQ
2012-09-07,14.412026720880634,2.0,1.34,TQQQ
2012-09-10,13.701013636981882,2.0,1.34,TQQQ
2012-09-11,13.62168852777807,2.0,1.34,TQQQ
2012-09-12,13.780101012454034,2.0,1.34,TQQQ
2012-09-13,14.516510586112672,2.0,1.34,TQQQ
2012-09-14,15.0148917283326,2.0,1.34,TQQQ
2012-09-17,15.052350519329634,2.0,1.34,TQQQ
2012-09-18,15.08983297778494,2.0,1.34,TQQQ
2012-09-19,15.224232797505485,2.0,1.34,TQQQ
2012-09-20,15.177259507625871,2.0,1.34,TQQQ
2012-09-21,15.177259507625871,2.0,1.34,TQQQ
2012-09-24,14.801628938361517,2.0,1.34,TQQQ
2012-09-25,14.005388739667314,2.0,1.34,TQQQ
2012-09-26,13.511751128010298,2.0,1.34,TQQQ
2012-09-27,14.280358838988057,2.0,1.34,TQQQ
2012-09-28,13.82143607911945,2.0,1.34,TQQQ
2012-10-01,13.74201012242126,2.0,1.34,TQQQ
2012-10-02,13.86096909947162,2.0,1.34,TQQQ
2012-10-03,14.212447970061163,2.0,1.34,TQQQ
2012-10-04,14.433892693121658,2.0,1.34,TQQQ
2012-10-05,14.100423804663567,2.0,1.34,TQQQ
2012-10-08,13.600129352946208,2.0,1.34,TQQQ
2012-10-09,12.663546742032642,2.0,1.34,TQQQ
2012-10-10,12.457570279588722,2.0,1.34,TQQQ
2012-10-11,12.308955921640253,2.0,1.34,TQQQ
2012-10-12,12.306001539736139,2.0,1.34,TQQQ
2012-10-15,12.63489853757582,2.0,1.34,TQQQ
2012-10-16,13.371662942193556,2.0,1.34,TQQQ
2012-10-17,13.317204003262578,2.0,1.34,TQQQ
2012-10-18,12.706783154044134,2.0,1.34,TQQQ
2012-10-19,12.477286902933418,2.0,0.25,TQQQ
2012-10-22,12.526221827591396,2.0,0.25,TQQQ
2012-10-23,12.433566074263918,2.0,0.25,TQQQ
2012-10-24,12.402575126194805,3.0,0.25,TQQQ
2012-10-25,12.402575126194805,3.0,0.25,TQQQ
2012-10-26,12.435004824976417,2.0,0.25,TQQQ
2012-10-31,12.37481862630656,3.0,0.25,TQQQ
2012-11-01,12.506040918942047,3.0,0.25,TQQQ
2012-11-02,12.391718453531519,3.0,0.25,TQQQ
2012-11-05,12.46768886968893,3.0,0.25,TQQQ
2012-11-06,12.486640573160683,3.0,0.25,TQQQ
2012-11-07,12.262650590006439,3.0,0.25,TQQQ
2012-11-08,12.119222708957999,3.0,0.25,TQQQ
2012-11-09,12.152200483428098,3.0,0.25,TQQQ
2012-11-12,12.156689019647384,3.0,0.25,TQQQ
2012-11-13,12.090704014006711,3.0,0.25,TQQQ
2012-11-14,11.982586530014505,3.0,0.25,TQQQ
2012-11-15,11.955808002596402,3.0,0.25,TQQQ
2012-11-16,11.9895098283855,3.0,0.25,TQQQ
2012-11-19,12.205368321431557,3.0,0.25,TQQQ
2012-11-20,12.20600847281556,3.0,0.25,TQQQ
2012-11-21,12.227578885775493,3.0,0.25,TQQQ
2012-11-23,12.367705236996036,3.0,0.25,TQQQ
2012-11-26,12.407384288563058,3.0,0.25,TQQQ
2012-11-27,12.372313656427341,3.0,0.25,TQQQ
2012-11-28,12.455253282596429,2.0,0.25,TQQQ
2012-11-29,12.509063269214602,2.0,0.25,TQQQ
2012-11-30,12.49784869419394,2.0,0.25,TQQQ
2012-12-03,12.482462301497318,2.0,0.25,TQQQ
2012-12-04,12.462261766166359,2.0,0.25,TQQQ
2012-12-05,12.36615029344093,3.0,0.25,TQQQ
2012-12-06,12.422996246296679,3.0,0.25,TQQQ
