date,SOXL/TQQQ Rotation with cash daily scanner,SOXL buy-and-hold,TQQQ buy-and-hold
2023-01-17,-0.4135452403912111,-0.8195813094404103,-0.770634556668006
2023-01-18,-0.4135452403912111,-0.8228968612749039,-0.7791463803425914
2023-01-19,-0.4135452403912111,-0.837402176713534,-0.7860693434919398
2023-01-20,-0.4135452403912111,-0.8233112934733061,-0.7685917198879704
2023-01-23,-0.4135452403912111,-0.7963728235880574,-0.7533839324647472
2023-01-24,-0.42548113808247423,-0.8005171724998729,-0.754859338382875
2023-01-25,-0.42190043081762885,-0.7992738893685627,-0.7566751757621999
2023-01-26,-0.3936518836895221,-0.7894655080822155,-0.7426022726094154
2023-01-27,-0.4039964291744004,-0.7930573121452532,-0.7352253557518915
2023-01-30,-0.4509446346606363,-0.8093585363473504,-0.7511140962840008
2023-01-31,-0.4222982397867875,-0.7994120154828347,-0.739991982420849
2023-02-01,-0.3315848434397529,-0.7679147644873681,-0.7231952893791427
2023-02-02,-0.2870238019811364,-0.7524424046820755,-0.6945955744586443
2023-02-03,-0.3264122798729382,-0.7661187614766254,-0.7103708152903982
2023-02-06,-0.3594353101626171,-0.7775849254121676,-0.7177477321479221
2023-02-07,-0.30015332046279264,-0.7570011992561897,-0.7002701085439527
2023-02-08,-0.34391874398309186,-0.7721973068329382,-0.7163858484767727
2023-02-09,-0.3403378816119127,-0.7709539698460419,-0.7239897196417613
2023-02-10,-0.3713714017367973,-0.7817293416434656,-0.7296642537270694
2023-02-13,-0.3467036782032863,-0.7731642838801184,-0.7168397796383251
2023-02-14,-0.3104978271710874,-0.760592989855331,-0.7107112918448413
2023-02-15,-0.3021425591915029,-0.7576918971470327,-0.7042423049502915
2023-02-16,-0.3522738568563426,-0.7750983456856505,-0.7211524976923531
2023-02-17,-0.3833073769812272,-0.7858737174830743,-0.7271675083321045
2023-02-21,-0.44258940545763514,-0.8064574571029486,-0.7463474696150434
2023-02-22,-0.4497510138702432,-0.8089440906850517,-0.7461204702143327
2023-02-23,-0.4000177578340627,-0.791675849044085,-0.7397649830201383
2023-02-24,-0.4306534302132051,-0.80231308126334,-0.7529299787565717
2023-02-27,-0.42309401283143844,-0.7996883215669649,-0.7475958761324606
2023-02-28,-0.4171260252092235,-0.7976161336471606,-0.7488443051965006
2023-03-01,-0.4159324044188305,-0.7972016879848618,-0.7549728380832305
2023-03-02,-0.4028028471605909,-0.792642879946851,-0.7490713045972114
2023-03-03,-0.37614576856861925,-0.7833870839009712,-0.7337499949270099
2023-03-06,-0.3964369730160504,-0.7904325389849816,-0.7326150655633251
2023-03-07,-0.4171260252092236,-0.7976161336471606,-0.7426022726094154
2023-03-08,-0.37097351521447197,-0.7815911886014006,-0.739084075004498
2023-03-09,-0.4067815185009288,-0.7940243430480194,-0.7528164565095934
2023-03-10,-0.4409980532512504,-0.8059049122541708,-0.7630306855030174
2023-03-13,-0.44219148015872645,-0.806319290596987,-0.7579235597329939
2023-03-14,-0.39444761795759,-0.7897418007024491,-0.7414673206991076
2023-03-15,-0.415534595449672,-0.7970635618705897,-0.7377221462401027
2023-03-16,-0.3467036782032866,-0.7731642838801184,-0.7169533018853036
2023-03-17,-0.358241844478558,-0.7771705336054548,-0.7211524976923531
2023-03-20,-0.33914418326835316,-0.7705394972559502,-0.7182016858560976
2023-03-21,-0.33575728136736915,-0.7693635066793851,-0.7062851191837041
2023-03-22,-0.35289129639391137,-0.775312731309742,-0.7182711745482897
2023-03-23,-0.30308312399859116,-0.7580184774207224,-0.7082257746681475
2023-03-24,-0.3397418855249681,-0.7707470297567193,-0.7052578048517627
2023-03-27,-0.3636498206832285,-0.7790482759318955,-0.7113078529437097
2023-03-28,-0.37719769972324846,-0.783752332485431,-0.7161022570522455
2023-03-29,-0.31942008635322994,-0.7636909516583643,-0.7005775092024042
2023-03-30,-0.28475358812906915,-0.751654147397138,-0.6924726746202134
2023-03-31,-0.27080743480088965,-0.7468118031625723,-0.6774045184334425
