Symbol,SignalDate,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,PnL,ReturnPct,ExitReason,Score,BreakoutLevel,Target,Stop,HoldingDays
EW,2020-08-28,2020-08-31,2020-10-28,84.6,74.01,798.944295,-8460.82,-12.52,stop,80.41,84.6,115.64,74.01,58
IRM,2021-01-22,2021-01-25,2021-01-27,24.56,32.68,2916.815825,23684.54,33.06,target,84.77,24.56,32.68,22.28,2
NWL,2020-10-30,2020-11-02,2021-01-28,14.19,18.9867,4462.638567,21405.99,33.8,time_stop,71.03,14.19,20.44,12.71,87
HST,2021-02-12,2021-02-16,2021-05-11,12.49,13.8953,6273.420284,8816.03,11.25,time_stop,75.17,12.49,16.77,10.76,84
CVX,2021-02-12,2021-02-17,2021-05-12,76.43,86.3974,1033.875046,10305.08,13.04,time_stop,71.06,76.43,101.9,67.1,84
HIG,2021-03-12,2021-03-15,2021-06-08,50.5,59.8771,1538.435028,14426.03,18.57,time_stop,72.57,50.5,67.2,42.62,85
BXP,2021-05-14,2021-05-18,2021-08-11,85.39,92.0076,1044.159093,6909.83,7.75,time_stop,77.1,85.39,117.07,77.06,85
HII,2021-08-27,2021-08-30,2021-09-08,188.02,178.64,488.462255,-4581.78,-4.99,stop,68.49,188.02,253.78,178.64,9
HII,2021-10-08,2021-10-11,2021-11-11,188.29,170.46,479.650616,-8552.17,-9.47,stop,74.9,188.29,254.05,170.46,31
PAYC,2021-10-29,2021-11-02,2021-11-22,535.14,449.52,166.377258,-14245.22,-16.0,stop,76.66,535.14,730.89,449.52,20
SBAC,2021-12-10,2021-12-14,2022-01-13,335.19,310.84,246.768352,-6008.81,-7.26,stop,66.73,335.19,455.88,310.84,30
EOG,2022-01-14,2022-01-18,2022-04-12,87.34,103.5061,924.105193,14939.2,18.51,time_stop,60.57,87.34,115.85,65.97,84
TMUS,2022-07-22,2022-07-27,2022-09-23,132.73,124.81,643.755667,-5098.54,-5.97,stop,66.18,132.73,179.3,124.81,58
CI,2022-07-01,2022-07-06,2022-09-28,254.59,265.1183,336.584632,3543.68,4.14,time_stop,78.29,254.59,332.48,224.42,84
LW,2022-07-22,2022-07-27,2022-10-19,70.45,77.7764,1219.822186,8936.95,10.4,time_stop,73.01,70.45,98.99,65.63,84
KEYS,2022-11-25,2022-11-30,2023-02-22,177.92,159.38,497.374256,-9221.32,-10.42,stop,79.06,177.92,232.48,159.38,84
IT,2022-11-25,2022-11-30,2023-02-27,346.35,327.39,254.51646,-4825.63,-5.47,time_stop,83.34,346.35,471.31,315.75,89
ITW,2023-04-28,2023-05-01,2023-05-10,228.37,210.11,363.403331,-6635.74,-8.0,stop,85.88,228.37,298.0,210.11,9
DRI,2023-03-17,2023-03-22,2023-06-15,136.86,151.3529,609.889378,8839.07,10.59,time_stop,84.68,136.86,179.7,127.56,85
HCA,2023-04-07,2023-04-11,2023-07-06,266.25,288.2506,315.299538,6936.79,8.26,time_stop,83.76,266.25,369.0,233.87,86
MCO,2023-07-21,2023-07-25,2023-08-16,352.63,323.59,243.643064,-7075.39,-8.24,stop,79.7,352.63,472.29,323.59,22
FDX,2023-07-07,2023-07-11,2023-10-03,239.01,246.8898,361.97718,2852.31,3.3,time_stop,78.56,239.01,329.09,200.75,84
TTWO,2023-07-07,2023-07-11,2023-10-03,149.04,137.56,584.51743,-6710.26,-7.7,time_stop,77.71,149.04,193.86,119.57,84
NRG,2023-10-27,2023-11-01,2024-01-29,40.49,52.1698,2046.720627,23905.24,28.85,time_stop,81.21,40.49,53.32,34.76,89
GPN,2024-02-09,2024-02-14,2024-04-04,134.42,123.13,675.793272,-7629.71,-8.4,stop,83.1,134.42,175.04,123.13,50
JCI,2024-05-17,2024-05-20,2024-08-14,67.7,67.097,1304.237759,-786.4,-0.89,time_stop,75.99,67.7,88.92,58.29,86
EXR,2024-06-14,2024-06-18,2024-09-12,146.6,164.2537,601.163449,10612.75,12.04,time_stop,79.0,146.6,201.25,126.14,86
PNC,2024-07-12,2024-07-15,2024-10-07,158.28,171.6182,558.903405,7454.76,8.43,time_stop,82.04,158.28,209.47,138.13,84
DIS,2025-01-31,2025-02-05,2025-03-06,116.81,105.0,852.476033,-10067.74,-10.11,stop,80.63,116.81,155.48,105.0,29
JBL,2024-12-13,2024-12-18,2025-03-18,138.81,135.3783,677.597198,-2325.34,-2.47,time_stop,82.86,138.81,184.15,125.78,90
PAYC,2025-02-21,2025-02-24,2025-04-04,215.2,194.66,411.416398,-8450.49,-9.54,stop,80.81,215.2,290.55,194.66,39
DG,2025-05-16,2025-05-20,2025-08-14,94.97,112.9904,917.230783,16528.86,18.97,time_stop,65.88,94.97,125.25,84.53,86
AMZN,2025-09-05,2025-09-10,2025-10-17,236.53,211.42,392.853035,-9864.54,-10.62,stop,83.25,236.53,311.68,211.42,37
CDNS,2025-07-25,2025-07-29,2025-10-21,335.16,333.45,269.288442,-460.48,-0.51,time_stop,86.92,335.16,443.69,304.73,84
HUBB,2025-10-24,2025-10-28,2025-11-20,449.12,404.63,197.697758,-8795.57,-9.91,stop,82.58,449.12,606.07,404.63,23
INCY,2025-10-24,2025-10-27,2026-01-22,92.86,105.06,960.341961,11716.17,13.14,time_stop,77.73,92.86,127.29,81.09,87
HST,2025-11-07,2025-11-10,2026-02-05,17.61,18.7996,5086.01317,6050.21,6.76,time_stop,79.82,17.61,23.29,15.15,87
TMO,2026-01-02,2026-01-05,2026-02-05,601.27,553.98,133.042466,-6291.58,-7.87,stop,84.77,601.27,825.04,553.98,31
VRTX,2026-03-06,2026-03-10,2026-03-19,503.88,450.67,178.753731,-9511.49,-10.56,stop,70.8,503.88,661.06,450.67,9
