segment_id,entry_date,exit_date,symbol,entry_price,exit_price,calendar_days,trading_days,symbol_return_%,strategy_segment_return_%,segment_max_drawdown_%,start_equity,end_equity,avg_exposure,max_exposure,days_above_1x_%
68,2020-07-02,2020-08-03,SOXL,12.0917,15.514,32,22,28.3,40.15,-14.87,361359.681345,506451.161582,1.159,1.5,54.55
69,2020-08-04,2020-09-01,TQQQ,14.9764,20.2654,28,21,35.32,38.97,-7.55,511389.729483,710658.585134,0.929,1.5,23.81
70,2020-09-02,2020-09-04,SOXL,19.8749,16.026,2,3,-19.37,-16.43,-16.43,758471.980326,633881.990094,1.0,1.5,33.33
71,2020-09-08,2020-09-08,TQQQ,14.5203,14.5203,0,1,0.0,0.0,0.0,566685.403709,566685.403709,0.75,0.75,0.0
72,2020-09-09,2020-10-01,SOXL,14.8805,17.3835,22,17,16.82,40.97,-6.68,601828.390869,848395.930261,1.071,1.5,47.06
73,2020-10-02,2020-10-28,TQQQ,15.011,14.3413,26,19,-4.46,13.95,-16.38,795924.655138,906974.116108,1.155,1.5,57.89
74,2020-10-29,2020-10-29,SOXL,16.9168,16.9168,0,1,0.0,0.0,0.0,961136.499832,961136.499832,0.75,0.75,0.0
75,2020-10-30,2020-11-02,TQQQ,14.0225,14.0273,3,2,0.03,0.01,0.0,947765.985779,947830.559705,0.2,0.2,0.0
76,2020-11-03,2021-04-01,SOXL,17.3254,41.1461,149,103,137.49,312.09,-40.58,990124.337545,4080237.610534,1.171,2.0,54.37
77,2021-04-05,2021-12-01,TQQQ,24.2746,37.0351,240,169,52.57,118.67,-15.96,4264039.97159,9324207.355949,1.052,2.0,49.11
78,2021-12-02,2022-01-18,SOXL,61.365,54.3249,47,32,-11.47,2.38,-26.72,9334172.776044,9556224.654466,1.459,2.0,78.12
79,2022-01-19,2022-01-19,TQQQ,30.7408,30.7408,0,1,0.0,0.0,0.0,9489736.795031,9489736.795031,0.2,0.2,0.0
80,2022-01-20,2022-01-21,SOXL,44.6303,42.4177,1,2,-4.96,-0.99,-0.99,9309353.273106,9217049.187713,0.2,0.2,0.0
81,2022-01-24,2022-01-24,TQQQ,27.4552,27.4552,0,1,0.0,0.0,0.0,9243723.017201,9243723.017201,0.2,0.2,0.0
82,2022-01-25,2022-01-25,SOXL,39.0017,39.0017,0,1,0.0,0.0,0.0,9029764.996249,9029764.996249,0.2,0.2,0.0
83,2022-01-26,2022-01-26,TQQQ,25.3826,25.3826,0,1,0.0,0.0,0.0,9026373.688221,9026373.688221,0.2,0.2,0.0
84,2022-01-27,2022-01-27,SOXL,35.285,35.285,0,1,0.0,0.0,0.0,8779498.867544,8779498.867544,0.2,0.2,0.0
85,2022-01-28,2022-01-28,TQQQ,26.9203,26.9203,0,1,0.0,0.0,0.0,8943305.483235,8943305.483235,0.2,0.2,0.0
86,2022-01-31,2022-03-01,SOXL,43.2619,35.4985,29,21,-17.95,-2.75,-6.2,9230627.808211,8976374.506664,0.2,0.2,0.0
87,2022-03-02,2022-03-07,TQQQ,25.0387,20.4016,5,4,-18.52,-3.88,-3.88,9062119.99456,8710524.344348,0.2,0.2,0.0
88,2022-03-08,2022-03-08,SOXL,30.2387,30.2387,0,1,0.0,0.0,0.0,8803578.041356,8803578.041356,0.2,0.2,0.0
89,2022-03-09,2022-04-29,TQQQ,22.2736,17.4454,51,37,-21.68,6.92,-9.29,8992062.148096,9614748.631894,0.25,1.5,2.7
90,2022-05-02,2022-05-02,SOXL,23.7799,23.7799,0,1,0.0,0.0,0.0,9810155.984288,9810155.984288,0.2,0.2,0.0
91,2022-05-03,2022-05-09,TQQQ,18.3098,14.5753,6,5,-20.4,-4.07,-5.93,9814772.257374,9415376.894434,0.2,0.2,0.0
92,2022-05-10,2022-05-10,SOXL,20.4701,20.4701,0,1,0.0,0.0,0.0,9546199.245219,9546199.245219,0.2,0.2,0.0
93,2022-05-11,2022-05-18,TQQQ,13.7348,13.4434,7,6,-2.12,-0.1,-2.92,9376260.587892,9367092.255167,0.2,0.2,0.0
94,2022-05-19,2022-05-19,SOXL,19.9072,19.9072,0,1,0.0,0.0,0.0,9336542.608315,9336542.608315,0.2,0.2,0.0
95,2022-05-20,2022-06-13,TQQQ,13.0566,11.0222,24,16,-15.58,-2.72,-7.58,9320293.374275,9067092.259974,0.2,0.2,0.0
96,2022-06-14,2022-06-14,SOXL,15.2968,15.2968,0,1,0.0,0.0,0.0,9091582.058789,9091582.058789,0.2,0.2,0.0
97,2022-06-15,2022-09-29,TQQQ,11.8914,9.7375,106,74,-18.11,4.97,-32.72,9222300.509082,9680969.612702,0.516,2.0,14.86
98,2022-09-30,2022-09-30,SOXL,8.6388,8.6388,0,1,0.0,0.0,0.0,9591350.127504,9591350.127504,0.2,0.2,0.0
99,2022-10-03,2022-11-03,TQQQ,9.8665,8.1902,31,24,-16.99,-2.95,-5.08,9724398.068705,9437191.063426,0.2,0.2,0.0
100,2022-11-04,2022-11-04,SOXL,8.7656,8.7656,0,1,0.0,0.0,0.0,9700331.774465,9700331.774465,0.2,0.2,0.0
101,2022-11-07,2023-01-03,TQQQ,8.8445,8.1175,57,39,-8.22,2.39,-5.98,9761938.397901,9995233.44582,0.3,1.5,7.69
102,2023-01-04,2023-04-03,SOXL,9.8536,17.4536,89,62,77.13,129.73,-31.53,10146870.361407,23310854.496261,1.41,2.0,70.97
103,2023-04-04,2023-04-25,TQQQ,13.4133,12.1676,21,15,-9.29,-9.76,-13.03,23136395.611234,20877541.09433,1.2,1.5,60.0
104,2023-04-26,2023-04-26,SOXL,13.1025,13.1025,0,1,0.0,0.0,0.0,20931317.192065,20931317.192065,0.2,0.2,0.0
105,2023-04-27,2024-01-02,TQQQ,13.3699,23.4975,250,172,75.75,246.76,-25.91,22199694.7833,76979000.97574,1.001,2.0,47.09
106,2024-01-03,2024-06-03,SOXL,25.8652,47.9171,152,105,85.26,162.29,-42.83,73293393.034455,192243350.998925,1.274,2.0,58.1
107,2024-06-04,2024-08-05,TQQQ,31.167,26.3727,62,43,-15.38,27.61,-19.74,193316611.282227,246695646.135913,0.979,2.0,39.53
108,2024-08-06,2024-08-06,SOXL,28.2633,28.2633,0,1,0.0,0.0,0.0,247916300.198911,247916300.198911,0.2,0.2,0.0
109,2024-08-07,2025-04-04,TQQQ,26.1612,20.4024,240,166,-22.01,115.04,-17.13,246319457.355397,529686038.41883,0.905,2.0,43.37
110,2025-04-07,2025-04-07,SOXL,9.1185,9.1185,0,1,0.0,0.0,0.0,534782666.018466,534782666.018466,0.2,0.2,0.0
111,2025-04-08,2025-08-01,TQQQ,19.315,41.2874,115,80,113.76,49.04,-7.33,528689387.01472,787939971.135947,0.686,1.5,12.5
112,2025-08-04,2025-10-01,SOXL,24.9927,36.86,58,42,47.48,46.89,-18.72,810517991.94795,1190592529.815686,1.113,2.0,40.48
113,2025-10-02,2025-11-03,TQQQ,52.8996,58.97,32,23,11.48,19.45,-8.14,1201492456.568183,1435181252.518746,1.076,1.5,43.48
114,2025-11-04,2025-11-04,SOXL,42.8,42.8,0,1,0.0,0.0,0.0,1307113873.199906,1307113873.199906,0.75,0.75,0.0
115,2025-11-05,2025-11-05,TQQQ,56.4382,56.4382,0,1,0.0,0.0,0.0,1326176841.052511,1326176841.052511,0.75,0.75,0.0
116,2025-11-06,2025-11-07,SOXL,43.01,41.74,1,2,-2.95,-2.21,-2.21,1245042952.695914,1217470287.639467,0.75,0.75,0.0
117,2025-11-10,2025-11-10,TQQQ,56.174,56.174,0,1,0.0,0.0,0.0,1277290693.178155,1277290693.178155,0.75,0.75,0.0
118,2025-11-11,2025-11-13,SOXL,41.81,39.22,2,3,-6.19,-4.56,-7.7,1210173319.257639,1155007673.399856,0.75,0.75,0.0
119,2025-11-14,2025-11-14,TQQQ,52.2018,52.2018,0,1,0.0,0.0,0.0,1155669753.061743,1155669753.061743,0.75,0.75,0.0
120,2025-11-17,2025-11-18,SOXL,36.84,34.35,1,2,-6.76,-1.35,-1.35,1110614682.419519,1095601477.143187,0.475,0.75,0.0
121,2025-11-19,2025-11-19,TQQQ,49.8643,49.8643,0,1,0.0,0.0,0.0,1099366348.640354,1099366348.640354,0.2,0.2,0.0
122,2025-11-20,2025-11-20,SOXL,30.81,30.81,0,1,0.0,0.0,0.0,1067877269.550985,1067877269.550985,0.2,0.2,0.0
123,2025-11-21,2025-11-21,TQQQ,47.3275,47.3275,0,1,0.0,0.0,0.0,1072613151.627494,1072613151.627494,0.2,0.2,0.0
124,2025-11-24,2026-05-20,SOXL,35.86,173.2,177,122,382.99,1396.94,-31.9,1177322264.276533,17623794899.2369,1.118,2.0,45.08
