date,same_close_equity,next_day_equity,same_exposure,next_exposure,allocation
2024-03-01,139797995.77071413,1067.4118376604793,0.75,0.75,SOXL
2024-03-04,142921960.3171116,1091.2645167984936,0.75,0.75,SOXL
2024-03-05,136611520.9484338,1043.0818683575744,0.75,0.75,SOXL
2024-03-06,151398453.67353836,1155.985826289511,1.5,1.5,SOXL
2024-03-07,174460917.93622273,1332.0766723985366,1.5,1.5,SOXL
2024-03-08,159394283.02199247,1101.9974874646553,0.75,1.5,SOXL
2024-03-11,148746295.01100913,1028.3809448121285,1.5,1.5,SOXL
2024-03-12,166619996.56232387,1151.9535964016732,2.0,2.0,SOXL
2024-03-13,143095583.4804477,989.3138604035424,2.0,2.0,SOXL
2024-03-14,127258173.3976182,879.8194306891627,2.0,2.0,SOXL
2024-03-15,122639126.55047272,847.8849226031133,2.0,2.0,SOXL
2024-03-18,121491384.36333254,839.9498261711342,2.0,2.0,SOXL
2024-03-19,115288872.54172167,797.0677835169323,2.0,2.0,SOXL
2024-03-20,126311217.80575854,873.2725040166044,2.0,2.0,SOXL
2024-03-21,143249724.56868625,917.1876421733489,2.0,0.75,SOXL
2024-03-22,143992119.693547,920.7526523479697,2.0,1.5,SOXL
2024-03-25,141480024.31476164,899.3346424560356,1.5,2.0,SOXL
2024-03-26,136177263.69133127,865.6270123336882,2.0,2.0,SOXL
2024-03-27,145068246.0800525,922.1436019114102,2.0,2.0,SOXL
2024-03-28,145255420.9634327,923.3334013734669,2.0,2.0,SOXL
2024-04-01,154370978.59231415,981.2775302401604,2.0,2.0,SOXL
2024-04-02,140796394.0285582,894.9890650362361,2.0,2.0,SOXL
2024-04-03,142699017.84335977,907.0833201545848,2.0,2.0,SOXL
2024-04-04,119096075.06359965,757.0484003236369,2.0,2.0,SOXL
2024-04-05,126123216.99622475,801.7172658265517,2.0,2.0,SOXL
2024-04-08,128320704.36934945,815.6858563083712,2.0,2.0,SOXL
2024-04-09,134401336.56836602,835.0119880753651,1.5,0.75,SOXL
2024-04-10,120780571.1119422,771.5444136452663,2.0,1.5,SOXL
2024-04-11,135972759.86136585,868.5918795808145,2.0,2.0,SOXL
2024-04-12,110500110.95123695,705.8729937002201,2.0,2.0,SOXL
2024-04-15,101289565.5926675,647.0361729052244,2.0,2.0,SOXL
2024-04-16,105159827.1075762,671.7593433926904,2.0,2.0,SOXL
2024-04-17,103354422.59085515,556.4303830787802,0.2,2.0,SOXL
2024-04-18,102155222.51625195,549.9742359670009,0.2,0.2,SOXL
2024-04-19,99743994.7499809,536.9928815552246,0.2,0.2,SOXL
2024-04-22,100573303.48380806,541.4576404391357,0.2,0.2,SOXL
2024-04-23,101852812.91055128,548.346149925508,0.2,0.2,SOXL
2024-04-24,102676956.53877336,552.7831013714941,0.2,0.2,SOXL
2024-04-25,103787912.74471283,558.764168961623,0.2,0.2,SOXL
2024-04-26,105114047.88548593,565.9036978361223,0.2,0.2,SOXL
2024-04-29,109392556.26096764,568.2071232674649,2.0,0.2,SOXL
2024-04-30,108083400.16733862,500.2069006477077,0.2,2.0,SOXL
2024-05-01,105926260.2528393,490.22371850110056,0.2,0.2,SOXL
2024-05-02,107208352.88767605,496.1572067353904,0.2,0.2,SOXL
2024-05-03,108690738.2251159,503.017643898344,0.2,0.2,SOXL
2024-05-06,121687861.89101356,509.0326757498477,2.0,0.2,SOXL
2024-05-07,121133931.50775732,485.86120566348893,0.2,2.0,SOXL
2024-05-08,121163947.9178434,485.98159975135997,0.2,0.2,SOXL
2024-05-09,120894088.53821187,484.89920935987016,0.2,0.2,SOXL
2024-05-10,125749825.3003208,487.4960200010699,1.5,0.2,SOXL
2024-05-13,127221006.13147745,489.6347748607026,2.0,0.75,SOXL
2024-05-14,139181650.28066295,524.1594230492443,2.0,1.5,SOXL
2024-05-15,163597220.77304,616.1086945005869,2.0,2.0,SOXL
2024-05-16,159733545.18421796,596.7078423202161,1.5,2.0,SOXL
2024-05-17,153794490.27893686,574.5216407063692,2.0,2.0,SOXL
